BioSample	BioSampleModel	DATASTORE_filetype	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	depth	elev	lat_lon	sedimentology	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	samp_collect_device	samp_store_temp	samp_vol_we_dna_ext
SAMN06244069	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505931	6B	10	5	SRR5190103	SRS1930201	U1433A_17H2_75_76	07-Mar-2014	153.61 m	-4379 m	12.9190 N 115.0472 E	Calcareous Turbidite - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244068	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505932	6A	10	6	SRR5190104	SRS1930202	U1433A_17H2_71_73	07-Mar-2014	153.57 m	-4379 m	12.9190 N 115.0472 E	Calcareous Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244067	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505933	5I	9	4	SRR5190105	SRS1930203	U1433A_3H3_45_47	07-Mar-2014	21.85 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244066	MIMARKS.survey	contigs sra	SRX2505934	5H	12	7	SRR5190106	SRS1930204	U1433A_3H3_42_43	07-Mar-2014	21.82 m	-4379 m	12.9190 N 115.0472 E	Calcareous Turbidite - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244065	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505935	5G	9	5	SRR5190107	SRS1930205	U1433A_3H3_39_41	07-Mar-2014	21.79 m	-4379 m	12.9190 N 115.0472 E	Calcareous Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244064	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505936	5F	10	6	SRR5190108	SRS1930207	U1433A_11H4_76_78	07-Mar-2014	99.74 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244063	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505937	5E	5	3	SRR5190109	SRS1930209	U1433A_11H4_74_75	07-Mar-2014	99.72 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Turbidite - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244062	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505938	5D	14	8	SRR5190110	SRS1930206	U1433A_11H4_71_73	07-Mar-2014	99.69 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244061	MIMARKS.survey	contigs sra	SRX2505939	5C	11	6	SRR5190111	SRS1930208	U1431D_12H2_15_17	30-Jan-2014	99.85 m	-4237 m	15.3756 N 117.0000 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244060	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505940	5A	2	1	SRR5190112	SRS1930210	U1431D_12H2_9_11	30-Jan-2014	99.79 m	-4237 m	15.3756 N 117.0000 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244059	MIMARKS.survey	contigs sra	SRX2505941	4C	13	8	SRR5190113	SRS1930212	U1431D_11H5_107_109	30-Jan-2014	95.77 m	-4237 m	15.3756 N 117.0000 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244058	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505942	4B	14	9	SRR5190114	SRS1930211	U1431D_11H5_106_106	30-Jan-2014	95.76 m	-4237 m	15.3756 N 117.0000 E	Volcanic Ash - Calcareous Ooze Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244057	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505943	4A	10	6	SRR5190115	SRS1930213	U1431D_11H5_102_104	30-Jan-2014	95.72 m	-4237 m	15.3756 N 117.0000 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244056	MIMARKS.survey	contigs sra	SRX2505944	3C	16	8	SRR5190116	SRS1930214	U1433A_3H1_95_97	07-Mar-2014	19.35 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244055	MIMARKS.survey	contigs sra	SRX2505945	3B	38	21	SRR5190117	SRS1930215	U1433A_3H1_97_99	07-Mar-2014	19.37 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244054	MIMARKS.survey	contigs sra	SRX2505946	2C	5	3	SRR5190118	SRS1930216	U1431D_10H8_17_19	30-Jan-2014	87.93 m	-4237 m	15.3756 N 117.0000 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244053	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505947	2B	9	5	SRR5190119	SRS1930217	U1431D_10H8_15_15	30-Jan-2014	87.91 m	-4237 m	15.3756 N 117.0000 E	Calcareous Turbidite - Calcaereous Ooze Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
