BioSample	BioSampleModel	DATASTORE_filetype	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	depth	elev	lat_lon	sedimentology	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	samp_collect_device	samp_store_temp	samp_vol_we_dna_ext
SAMN06244092	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505908	8G	9	5	SRR5190080	SRS1930178	U1433A_1H3_105_107	07-Mar-2014	4.05 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244091	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505909	8F	21	12	SRR5190081	SRS1930179	U1433A_10H6_97_99	07-Mar-2014	92.04 m	-4379 m	12.9190 N 115.0472 E	Siliceous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244090	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505910	8E	19	10	SRR5190082	SRS1930180	U1433A_10H6_96_97	07-Mar-2014	92.03 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze - Siliceous Ooze Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244089	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505911	8D	14	8	SRR5190083	SRS1930181	U1433A_10H6_93_95	07-Mar-2014	92 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244088	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505912	8C	11	6	SRR5190084	SRS1930182	U1433A_1H5_108_110	07-Mar-2014	7.08 m	-4379 m	12.9190 N 115.0472 E	Diatomaeceous Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244087	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505913	8B	11	6	SRR5190085	SRS1930183	U1433A_1H5_105_106	07-Mar-2014	7.05 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Turbidite - Diatomaeceous Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244086	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505914	8A	13	7	SRR5190086	SRS1930184	U1433A_1H5_101_103	07-Mar-2014	7.01 m	-4379 m	12.9190 N 115.0472 E	Lithogenic Turbidite	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244085	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505915	7I	8	4	SRR5190087	SRS1930185	U1433A_14H1_128_130	07-Mar-2014	124.18 m	-4379 m	12.9190 N 115.0472 E	Calcareous Ooze	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244084	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505916	7H	7	4	SRR5190088	SRS1930186	U1433A_14H1_126_127	07-Mar-2014	124.16 m	-4379 m	12.9190 N 115.0472 E	Volcanic Ash - Calcareous Ooze Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244083	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505917	7G	10	6	SRR5190089	SRS1930187	U1433A_14H1_123_125	07-Mar-2014	124.13 m	-4379 m	12.9190 N 115.0472 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244082	MIMARKS.survey	contigs sra	SRX2505918	7F	11	6	SRR5190090	SRS1930188	U1431D_10H6_13_15	30-Jan-2014	85.71 m	-4237 m	15.3756 N 117.0000 E	Lithogenic Clay	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244081	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505919	7E	12	7	SRR5190091	SRS1930189	U1431D_10H6_10_11	30-Jan-2014	85.68 m	-4237 m	15.3756 N 117.0000 E	Volcanic Ash - Lithogenic Clay Interface	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
SAMN06244080	MIGS/MIMS/MIMARKS.sediment	contigs sra	SRX2505920	7D	8	4	SRR5190092	SRS1930190	U1431D_10H6_6_8	30-Jan-2014	85.64 m	-4237 m	15.3756 N 117.0000 E	Volcanic Ash	AMPLICON	502	PRJNA362622	OREGON STATE UNIVERSITY	public	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-01-19	marine sediment metagenome	ILLUMINA	2017-01-24	SRP097192	marine sediment	marine sediment	marine sediment	China: South China Sea	Drilling core	-80 C	0.25 g
