dataset	freq_removed	cor_n_estimate	cor_n_p.value	cor_shannon_estimate	cor_shannon_p.value	cor_nshannon_estimate	cor_nshannon_p.value
bioethanol	1	-0.7939009841173645	8.323028058087445e-22	0.6470038603249018	1.4031041661911678e-12	-0.8669512877939529	7.09934879561164e-30
bioethanol	2	-0.629950202038809	7.956713226506693e-12	0.540387305932508	1.5826377987436827e-8	-0.8669512877939529	7.09934879561164e-30
bioethanol	3	-0.4031081879952151	5.116288443559387e-5	0.3311903648481336	0.001044158760809089	-0.8669512877939529	7.09934879561164e-30
bioethanol	4	-0.2917177676819717	0.0041263246927887385	0.21612771567244193	0.035413696646110444	-0.8669512877939529	7.09934879561164e-30
bioethanol	5	0.010577617160289533	0.9189663410637998	0.03315162881578127	0.749777910186119	-0.8669512877939529	7.09934879561164e-30
bioethanol	6	-0.22829186409700594	0.026072603505910927	0.19232272370383705	0.061875636211318606	-0.8669512877939529	7.09934879561164e-30
bioethanol	7	-0.09715500969736926	0.34894781393092045	-0.026009145229055144	0.8024387675571372	-0.8669512877939529	7.09934879561164e-30
bioethanol	8	-0.23745222515672995	0.020503564288947854	0.21756710060505288	0.0341792922966877	-0.8669512877939529	7.09934879561164e-30
bioethanol	9	-0.07293839463428534	0.4824043803434642	-0.03866905050290401	0.7098563654305554	-0.8669512877939529	7.09934879561164e-30
bioethanol	10	-0.21852684536689523	0.03337648876481007	0.25892409334592825	0.011288604004020326	-0.8669512877939529	7.09934879561164e-30
human	1	-0.4005704031188132	2.6111487849240574e-20	-0.0517857346855142	0.25255472143128943	-0.13684116553257275	0.0024000677861279744
human	2	-0.36765418718652454	3.96024260504813e-17	-0.1395556335338482	0.0019583872034618552	-0.13684116553257275	0.0024000677861279744
human	3	-0.4304099130107858	1.619595588753649e-23	-0.04264503309599314	0.3461897385570337	-0.13684116553257275	0.0024000677861279744
human	4	-0.3654064714684099	6.338863649596457e-17	-0.029105078353293585	0.520380440700287	-0.13684116553257275	0.0024000677861279744
human	5	-0.3456546368917494	3.3828126394648756e-15	-0.021998867637197612	0.6271226132693211	-0.13684116553257275	0.0024000677861279744
human	6	-0.32382569583975973	1.9996962520614055e-13	-0.1213390181276701	0.0071658690897777886	-0.13684116553257275	0.0024000677861279744
human	7	-0.2223689822143453	6.621010095789823e-7	-0.09748334017525571	0.030965535208005778	-0.13684116553257275	0.0024000677861279744
human	8	-0.2567570841002676	8.118223268951362e-9	-0.012321680566082516	0.7855714710929723	-0.13684116553257275	0.0024000677861279744
human	9	-0.2441971461409116	4.379356688999949e-8	0.031220674127142415	0.4905073537902681	-0.13684116553257275	0.0024000677861279744
human	10	-0.16366968032679757	2.7445170847042517e-4	-0.060597754753038115	0.18050769180428866	-0.13684116553257275	0.0024000677861279744
lake	1	-0.7358490566037735	5.137860691426922e-10	0.17817809271749338	0.20631337314514533	0.03158883292068641	0.8240738332035304
lake	2	-0.6122257320925466	1.4141647160218571e-6	0.0018782549304191922	0.9894562277446786	0.03158883292068641	0.8240738332035304
lake	3	-0.4961687051566706	1.834883943838147e-4	0.11005101281028105	0.43735870574541713	0.03158883292068641	0.8240738332035304
