dataset	method	prune	mean	sd	sd_mean	median	iqr	iqr_median	lci	uci
bioethanol	pc	1	0.058999382472564386	0.002774507728763514	0.04701258915552888	0.05884098	0.00268279	0.045591875431097065	0.05752386	0.06020665
bioethanol	pc	2	0.04842433687346025	0.0037972669690156035	0.07842370169721326	0.04894207	0.00470397	0.09612832596422653	0.04632654	0.05103051
bioethanol	pc	3	0.04567122301679731	0.004289872615121791	0.0939402152929346	0.04633479	0.00532728	0.11499114868195004	0.04329228	0.04861956
bioethanol	pc	4	0.044241472400895855	0.0045497707071199414	0.10285084308016226	0.04491012	0.00571306	0.12723126861225711	0.04162657	0.04733963
bioethanol	pc	5	0.04334751788801792	0.004729006794612791	0.10910500792071604	0.04395497	0.00599511	0.1364139813858702	0.04056406	0.04655917
bioethanol	pc	6	0.04270261121388578	0.0048485732863373775	0.11355099554320996	0.0432042	0.0061575200000000005	0.14253846987212243	0.03982214	0.04597966
bioethanol	pc	7	0.042230256479283315	0.0049670489260335874	0.11762615824850924	0.04258932	0.0062704300000000004	0.147248119063607	0.03928096	0.04555139
bioethanol	pc	8	0.04185324075475924	0.005065427250519839	0.12103466752200201	0.04209844	0.0063584900000000005	0.1510501537263425	0.03886213	0.04522062
bioethanol	pc	9	0.04154313744456887	0.0051661908242172094	0.12436443585817025	0.0416761	0.00642957	0.1542874730947855	0.0384896	0.04491917
bioethanol	pc	10	0.041326248965285556	0.005219685709587922	0.12630798114044783	0.0413572	0.0064431	0.15580052877148598	0.03826843	0.04471153
bioethanol	pc	11	0.04120981879283315	0.005325038032201752	0.12922073015929725	0.04111907	0.00655187	0.15934978086399926	0.03805733	0.0446092
human	pc	1	0.14054941494561995	0.0017288245616553775	0.012300451068578444	0.14051649	0.0020114099999999978	0.014314411614575022	0.13952423	0.14153564
human	pc	2	0.11922656361529152	0.0030717645395543676	0.02576424533946717	0.11940412	0.0040792499999999995	0.03416357023064223	0.11727224	0.12135149
human	pc	3	0.11393488717374066	0.004176836634589949	0.03665994740978857	0.11397588	0.00559744	0.049110846124464556	0.1111094	0.11670684
human	pc	4	0.11097657857894078	0.005250916167174973	0.047315543469518336	0.11075981	0.00687867	0.06210427385768024	0.10732692	0.11420559
