dataset	freq_removed	cor_n_estimate	cor_n_p.value	cor_shannon_estimate	cor_shannon_p.value	cor_nshannon_estimate	cor_nshannon_p.value
bioethanol	1	-0.8714585666293393	1.5912335525671366e-30	0.8503919372900336	1.117762847088755e-27	-0.8669512877939529	7.09934879561164e-30
bioethanol	2	-0.8974804031354984	7.94645929854411e-35	0.873040313549832	9.289337432698874e-31	-0.8669512877939529	7.09934879561164e-30
bioethanol	3	-0.9067189249720046	1.2212515276326916e-36	0.8815509518477044	4.5101780317987184e-32	-0.8669512877939529	7.09934879561164e-30
bioethanol	4	-0.9122200447928331	8.220702278332792e-38	0.8852463605823069	1.1271240895653883e-32	-0.8669512877939529	7.09934879561164e-30
bioethanol	5	-0.914991601343785	1.9722614868313483e-38	0.8896276595744681	2.0446687369521668e-33	-0.8669512877939529	7.09934879561164e-30
bioethanol	6	-0.9186870100783874	2.7205176549235377e-39	0.8934910414333707	4.2706133614127225e-34	-0.8669512877939529	7.09934879561164e-30
bioethanol	7	-0.9176931690929452	4.677119883568754e-39	0.8961226203807391	1.4192658091679932e-34	-0.8669512877939529	7.09934879561164e-30
bioethanol	8	-0.9193729003359462	1.8641668937634237e-39	0.8983482642777155	5.461562976818125e-35	-0.8669512877939529	7.09934879561164e-30
bioethanol	9	-0.9206466965285555	9.15589678921248e-40	0.8992441209406495	3.6953741614867057e-35	-0.8669512877939529	7.09934879561164e-30
bioethanol	10	-0.9217945128779395	4.775250754178564e-40	0.9012737961926092	1.5042131868012088e-35	-0.8669512877939529	7.09934879561164e-30
human	1	-0.68818622686914	5.2461413411104694e-70	0.47953673191441193	1.526267552915592e-29	-0.13684116553257275	0.0024000677861279744
human	2	-0.7028135615599578	3.4167212706977377e-74	0.5196289693766628	3.0772103658063445e-35	-0.13684116553257275	0.0024000677861279744
human	3	-0.7081608970096461	8.680204179698508e-76	0.5338679937382973	1.8894001245294938e-37	-0.13684116553257275	0.0024000677861279744
human	4	-0.7138076497889272	1.6382544096932343e-77	0.5384113236963223	3.5333490609766533e-38	-0.13684116553257275	0.0024000677861279744
human	5	-0.717976440685804	8.211095612246751e-79	0.5414548641542507	1.1328763911513953e-38	-0.13684116553257275	0.0024000677861279744
human	6	-0.7216637464849659	5.5562309361315634e-80	0.5431765009178612	5.92241964163784e-39	-0.13684116553257275	0.0024000677861279744
human	7	-0.7239723351851314	1.0064986113412328e-80	0.5445081964913963	3.57681247104489e-39	-0.13684116553257275	0.0024000677861279744
human	8	-0.727593290797647	6.663553488818521e-82	0.5447828791031863	3.2225631921111375e-39	-0.13684116553257275	0.0024000677861279744
human	9	-0.7296182209750404	1.4321517385669116e-82	0.5461349744250905	1.9258945480800684e-39	-0.13684116553257275	0.0024000677861279744
human	10	-0.7301736551662503	9.370782458461374e-83	0.5471561858284478	1.3034671664853872e-39	-0.13684116553257275	0.0024000677861279744
lake	1	-0.3008622897635106	0.030212071282399663	0.6897464355843933	1.553371152120147e-8	0.03158883292068641	0.8240738332035304
lake	2	-0.3013745411081704	0.02991828748520664	0.6910270639460429	1.4251017753850438e-8	0.03158883292068641	0.8240738332035304
lake	3	-0.3018867924528301	0.029626888437959367	0.6920515666353624	1.3297333300153197e-8	0.03158883292068641	0.8240738332035304
lake	4	-0.30470417484845896	0.028066173059091128	0.6917100657389226	1.3608345707247647e-8	0.03158883292068641	0.8240738332035304
