dataset	method	metric	prune	frac_sig
bioethanol	otu	invsimpson	1	0.24
bioethanol	otu	invsimpson	2	0.17
bioethanol	otu	invsimpson	3	0.14
bioethanol	otu	invsimpson	4	0.15
bioethanol	otu	invsimpson	5	0.12
bioethanol	otu	invsimpson	6	0.13
bioethanol	otu	invsimpson	7	0.12
bioethanol	otu	invsimpson	8	0.12
bioethanol	otu	invsimpson	9	0.12
bioethanol	otu	invsimpson	10	0.12
bioethanol	otu	invsimpson	11	0.12
bioethanol	otu	shannon	1	0.31
bioethanol	otu	shannon	2	0.14
bioethanol	otu	shannon	3	0.09
bioethanol	otu	shannon	4	0.09
bioethanol	otu	shannon	5	0.09
bioethanol	otu	shannon	6	0.09
bioethanol	otu	shannon	7	0.09
bioethanol	otu	shannon	8	0.1
bioethanol	otu	shannon	9	0.09
bioethanol	otu	shannon	10	0.09
bioethanol	otu	shannon	11	0.09
bioethanol	otu	sobs	1	0.23
bioethanol	otu	sobs	2	0.07
bioethanol	otu	sobs	3	0.05
bioethanol	otu	sobs	4	0.05
bioethanol	otu	sobs	5	0.04
bioethanol	otu	sobs	6	0.02
bioethanol	otu	sobs	7	0.03
bioethanol	otu	sobs	8	0.04
bioethanol	otu	sobs	9	0.03
bioethanol	otu	sobs	10	0.03
bioethanol	otu	sobs	11	0.04
bioethanol	pc	invsimpson	1	0.25
bioethanol	pc	invsimpson	2	0.15
bioethanol	pc	invsimpson	3	0.13
bioethanol	pc	invsimpson	4	0.13
bioethanol	pc	invsimpson	5	0.12
bioethanol	pc	invsimpson	6	0.13
bioethanol	pc	invsimpson	7	0.11
bioethanol	pc	invsimpson	8	0.12
bioethanol	pc	invsimpson	9	0.12
bioethanol	pc	invsimpson	10	0.11
bioethanol	pc	invsimpson	11	0.1
bioethanol	pc	shannon	1	0.37
bioethanol	pc	shannon	2	0.11
bioethanol	pc	shannon	3	0.1
bioethanol	pc	shannon	4	0.09
bioethanol	pc	shannon	5	0.09
bioethanol	pc	shannon	6	0.09
bioethanol	pc	shannon	7	0.09
bioethanol	pc	shannon	8	0.09
bioethanol	pc	shannon	9	0.08
bioethanol	pc	shannon	10	0.08
bioethanol	pc	shannon	11	0.08
bioethanol	pc	sobs	1	0.32
bioethanol	pc	sobs	2	0.07
bioethanol	pc	sobs	3	0.06
bioethanol	pc	sobs	4	0.06
bioethanol	pc	sobs	5	0.03
bioethanol	pc	sobs	6	0.03
bioethanol	pc	sobs	7	0.03
bioethanol	pc	sobs	8	0.03
bioethanol	pc	sobs	9	0.03
bioethanol	pc	sobs	10	0.03
bioethanol	pc	sobs	11	0.03
human	otu	invsimpson	1	0.93
human	otu	invsimpson	2	0.89
human	otu	invsimpson	3	0.68
human	otu	invsimpson	4	0.66
human	otu	invsimpson	5	0.59
human	otu	invsimpson	6	0.5
human	otu	invsimpson	7	0.47
human	otu	invsimpson	8	0.44
human	otu	invsimpson	9	0.41
human	otu	invsimpson	10	0.37
human	otu	invsimpson	11	0.32
human	otu	shannon	1	0.94
human	otu	shannon	2	0.68
human	otu	shannon	3	0.41
human	otu	shannon	4	0.28
