dataset	method	metric	prune	frac_sig
human	otu	shannon	5	0.23
human	otu	shannon	6	0.2
human	otu	shannon	7	0.19
human	otu	shannon	8	0.17
human	otu	shannon	9	0.16
human	otu	shannon	10	0.13
human	otu	shannon	11	0.1
human	otu	sobs	1	0.83
human	otu	sobs	2	0.05
human	otu	sobs	3	0.03
human	otu	sobs	4	0.03
human	otu	sobs	5	0.04
human	otu	sobs	6	0.04
human	otu	sobs	7	0.04
human	otu	sobs	8	0.04
human	otu	sobs	9	0.02
human	otu	sobs	10	0.02
human	otu	sobs	11	0.02
human	pc	invsimpson	1	0.92
human	pc	invsimpson	2	0.84
human	pc	invsimpson	3	0.71
human	pc	invsimpson	4	0.66
human	pc	invsimpson	5	0.57
human	pc	invsimpson	6	0.55
human	pc	invsimpson	7	0.51
human	pc	invsimpson	8	0.48
human	pc	invsimpson	9	0.45
human	pc	invsimpson	10	0.42
human	pc	invsimpson	11	0.4
human	pc	shannon	1	0.99
human	pc	shannon	2	0.65
human	pc	shannon	3	0.41
human	pc	shannon	4	0.3
human	pc	shannon	5	0.23
human	pc	shannon	6	0.18
human	pc	shannon	7	0.17
human	pc	shannon	8	0.13
human	pc	shannon	9	0.12
human	pc	shannon	10	0.11
human	pc	shannon	11	0.11
human	pc	sobs	1	0.93
human	pc	sobs	2	0.06
human	pc	sobs	3	0.04
human	pc	sobs	4	0.03
human	pc	sobs	5	0.04
human	pc	sobs	6	0.02
human	pc	sobs	7	0.02
human	pc	sobs	8	0.02
human	pc	sobs	9	0.01
human	pc	sobs	10	0.01
human	pc	sobs	11	0.01
lake	otu	invsimpson	1	0.7
lake	otu	invsimpson	2	0.49
lake	otu	invsimpson	3	0.42
lake	otu	invsimpson	4	0.38
lake	otu	invsimpson	5	0.36
lake	otu	invsimpson	6	0.35
lake	otu	invsimpson	7	0.32
lake	otu	invsimpson	8	0.3
lake	otu	invsimpson	9	0.27
lake	otu	invsimpson	10	0.27
lake	otu	invsimpson	11	0.28
lake	otu	shannon	1	0.89
lake	otu	shannon	2	0.34
lake	otu	shannon	3	0.28
lake	otu	shannon	4	0.23
lake	otu	shannon	5	0.2
lake	otu	shannon	6	0.18
lake	otu	shannon	7	0.12
lake	otu	shannon	8	0.11
lake	otu	shannon	9	0.1
lake	otu	shannon	10	0.13
lake	otu	shannon	11	0.1
lake	otu	sobs	1	0.5
lake	otu	sobs	2	0.08
lake	otu	sobs	3	0.07
lake	otu	sobs	4	0.06
lake	otu	sobs	5	0.08
lake	otu	sobs	6	0.06
lake	otu	sobs	7	0.07
lake	otu	sobs	8	0.07
lake	otu	sobs	9	0.09
lake	otu	sobs	10	0.07
lake	otu	sobs	11	0.07
lake	pc	invsimpson	1	0.83
lake	pc	invsimpson	2	0.46
lake	pc	invsimpson	3	0.38
lake	pc	invsimpson	4	0.35
lake	pc	invsimpson	5	0.31
lake	pc	invsimpson	6	0.29
lake	pc	invsimpson	7	0.26
lake	pc	invsimpson	8	0.26
lake	pc	invsimpson	9	0.24
lake	pc	invsimpson	10	0.23
lake	pc	invsimpson	11	0.22
lake	pc	shannon	1	0.93
lake	pc	shannon	2	0.29
lake	pc	shannon	3	0.22
lake	pc	shannon	4	0.2
lake	pc	shannon	5	0.17
lake	pc	shannon	6	0.18
lake	pc	shannon	7	0.13
lake	pc	shannon	8	0.14
lake	pc	shannon	9	0.13
lake	pc	shannon	10	0.13
lake	pc	shannon	11	0.13
lake	pc	sobs	1	0.67
lake	pc	sobs	2	0.07
lake	pc	sobs	3	0.06
lake	pc	sobs	4	0.07
lake	pc	sobs	5	0.07
lake	pc	sobs	6	0.06
lake	pc	sobs	7	0.06
lake	pc	sobs	8	0.06
lake	pc	sobs	9	0.06
lake	pc	sobs	10	0.07
lake	pc	sobs	11	0.05
marine	otu	invsimpson	1	0
marine	otu	invsimpson	2	0
marine	otu	invsimpson	3	0
marine	otu	invsimpson	4	0
marine	otu	invsimpson	5	0
marine	otu	invsimpson	6	0
marine	otu	invsimpson	7	0
marine	otu	invsimpson	8	0
marine	otu	invsimpson	9	0
marine	otu	invsimpson	10	0
marine	otu	invsimpson	11	0
marine	otu	shannon	1	0
marine	otu	shannon	2	0
marine	otu	shannon	3	0
marine	otu	shannon	4	0
marine	otu	shannon	5	0
marine	otu	shannon	6	0
marine	otu	shannon	7	0
marine	otu	shannon	8	0
marine	otu	shannon	9	0
marine	otu	shannon	10	0
marine	otu	shannon	11	0
marine	otu	sobs	1	0
marine	otu	sobs	2	0
marine	otu	sobs	3	0
marine	otu	sobs	4	0
marine	otu	sobs	5	0
marine	otu	sobs	6	0
marine	otu	sobs	7	0
marine	otu	sobs	8	0
marine	otu	sobs	9	0
marine	otu	sobs	10	0
marine	otu	sobs	11	0
marine	pc	invsimpson	1	0
marine	pc	invsimpson	2	0
marine	pc	invsimpson	3	0
marine	pc	invsimpson	4	0
marine	pc	invsimpson	5	0
marine	pc	invsimpson	6	0
marine	pc	invsimpson	7	0
marine	pc	invsimpson	8	0
marine	pc	invsimpson	9	0
marine	pc	invsimpson	10	0
marine	pc	invsimpson	11	0
marine	pc	shannon	1	0
marine	pc	shannon	2	0
marine	pc	shannon	3	0
marine	pc	shannon	4	0
marine	pc	shannon	5	0
marine	pc	shannon	6	0
marine	pc	shannon	7	0
marine	pc	shannon	8	0
marine	pc	shannon	9	0
marine	pc	shannon	10	0
marine	pc	shannon	11	0
marine	pc	sobs	1	0
marine	pc	sobs	2	0
marine	pc	sobs	3	0
marine	pc	sobs	4	0
marine	pc	sobs	5	0
marine	pc	sobs	6	0
marine	pc	sobs	7	0
marine	pc	sobs	8	0
marine	pc	sobs	9	0
marine	pc	sobs	10	0.01
marine	pc	sobs	11	0
mice	otu	invsimpson	1	0.55
mice	otu	invsimpson	2	0.49
mice	otu	invsimpson	3	0.41
mice	otu	invsimpson	4	0.36
mice	otu	invsimpson	5	0.35
mice	otu	invsimpson	6	0.31
mice	otu	invsimpson	7	0.25
mice	otu	invsimpson	8	0.24
mice	otu	invsimpson	9	0.19
mice	otu	invsimpson	10	0.2
mice	otu	invsimpson	11	0.19
mice	otu	shannon	1	0.65
mice	otu	shannon	2	0.52
mice	otu	shannon	3	0.39
mice	otu	shannon	4	0.37
mice	otu	shannon	5	0.28
mice	otu	shannon	6	0.25
mice	otu	shannon	7	0.18
mice	otu	shannon	8	0.18
mice	otu	shannon	9	0.17
mice	otu	shannon	10	0.17
mice	otu	shannon	11	0.15
mice	otu	sobs	1	0.68
mice	otu	sobs	2	0.37
mice	otu	sobs	3	0.2
mice	otu	sobs	4	0.16
mice	otu	sobs	5	0.12
mice	otu	sobs	6	0.09
mice	otu	sobs	7	0.1
mice	otu	sobs	8	0.09
mice	otu	sobs	9	0.09
mice	otu	sobs	10	0.1
mice	otu	sobs	11	0.1
mice	pc	invsimpson	1	0.52
mice	pc	invsimpson	2	0.45
mice	pc	invsimpson	3	0.4
mice	pc	invsimpson	4	0.36
mice	pc	invsimpson	5	0.34
mice	pc	invsimpson	6	0.3
mice	pc	invsimpson	7	0.25
mice	pc	invsimpson	8	0.22
mice	pc	invsimpson	9	0.19
mice	pc	invsimpson	10	0.2
mice	pc	invsimpson	11	0.19
mice	pc	shannon	1	0.67
mice	pc	shannon	2	0.5
mice	pc	shannon	3	0.4
mice	pc	shannon	4	0.35
mice	pc	shannon	5	0.27
mice	pc	shannon	6	0.23
mice	pc	shannon	7	0.17
mice	pc	shannon	8	0.18
mice	pc	shannon	9	0.15
mice	pc	shannon	10	0.14
mice	pc	shannon	11	0.15
mice	pc	sobs	1	0.71
mice	pc	sobs	2	0.3
mice	pc	sobs	3	0.16
mice	pc	sobs	4	0.1
mice	pc	sobs	5	0.09
mice	pc	sobs	6	0.11
mice	pc	sobs	7	0.09
mice	pc	sobs	8	0.08
mice	pc	sobs	9	0.09
mice	pc	sobs	10	0.09
mice	pc	sobs	11	0.1
peromyscus	otu	invsimpson	1	0.54
peromyscus	otu	invsimpson	2	0.3
peromyscus	otu	invsimpson	3	0.19
peromyscus	otu	invsimpson	4	0.16
peromyscus	otu	invsimpson	5	0.09
peromyscus	otu	invsimpson	6	0.09
peromyscus	otu	invsimpson	7	0.09
peromyscus	otu	invsimpson	8	0.06
peromyscus	otu	invsimpson	9	0.07
peromyscus	otu	invsimpson	10	0.07
peromyscus	otu	invsimpson	11	0.07
peromyscus	otu	shannon	1	0.72
peromyscus	otu	shannon	2	0.14
peromyscus	otu	shannon	3	0.08
peromyscus	otu	shannon	4	0.07
peromyscus	otu	shannon	5	0.07
peromyscus	otu	shannon	6	0.06
peromyscus	otu	shannon	7	0.05
peromyscus	otu	shannon	8	0.07
peromyscus	otu	shannon	9	0.06
peromyscus	otu	shannon	10	0.07
peromyscus	otu	shannon	11	0.04
peromyscus	otu	sobs	1	0.38
peromyscus	otu	sobs	2	0.06
peromyscus	otu	sobs	3	0.04
peromyscus	otu	sobs	4	0.05
peromyscus	otu	sobs	5	0.04
peromyscus	otu	sobs	6	0.03
peromyscus	otu	sobs	7	0.04
peromyscus	otu	sobs	8	0.04
peromyscus	otu	sobs	9	0.06
peromyscus	otu	sobs	10	0.04
peromyscus	otu	sobs	11	0.06
peromyscus	pc	invsimpson	1	0.54
peromyscus	pc	invsimpson	2	0.23
peromyscus	pc	invsimpson	3	0.22
peromyscus	pc	invsimpson	4	0.15
peromyscus	pc	invsimpson	5	0.1
peromyscus	pc	invsimpson	6	0.08
peromyscus	pc	invsimpson	7	0.08
peromyscus	pc	invsimpson	8	0.07
peromyscus	pc	invsimpson	9	0.07
peromyscus	pc	invsimpson	10	0.07
peromyscus	pc	invsimpson	11	0.07
peromyscus	pc	shannon	1	0.8
peromyscus	pc	shannon	2	0.16
peromyscus	pc	shannon	3	0.12
peromyscus	pc	shannon	4	0.11
peromyscus	pc	shannon	5	0.09
peromyscus	pc	shannon	6	0.08
peromyscus	pc	shannon	7	0.08
peromyscus	pc	shannon	8	0.09
peromyscus	pc	shannon	9	0.08
peromyscus	pc	shannon	10	0.07
peromyscus	pc	shannon	11	0.04
peromyscus	pc	sobs	1	0.65
peromyscus	pc	sobs	2	0.06
peromyscus	pc	sobs	3	0.05
peromyscus	pc	sobs	4	0.04
peromyscus	pc	sobs	5	0.04
peromyscus	pc	sobs	6	0.04
peromyscus	pc	sobs	7	0.04
peromyscus	pc	sobs	8	0.04
peromyscus	pc	sobs	9	0.04
peromyscus	pc	sobs	10	0.04
peromyscus	pc	sobs	11	0.04
rainforest	otu	invsimpson	1	0.41
rainforest	otu	invsimpson	2	0.16
rainforest	otu	invsimpson	3	0.12
rainforest	otu	invsimpson	4	0.14
rainforest	otu	invsimpson	5	0.13
rainforest	otu	invsimpson	6	0.12
rainforest	otu	invsimpson	7	0.12
rainforest	otu	invsimpson	8	0.12
rainforest	otu	invsimpson	9	0.11
rainforest	otu	invsimpson	10	0.11
rainforest	otu	invsimpson	11	0.11
rainforest	otu	shannon	1	0.48
rainforest	otu	shannon	2	0.11
rainforest	otu	shannon	3	0.1
rainforest	otu	shannon	4	0.08
rainforest	otu	shannon	5	0.09
rainforest	otu	shannon	6	0.09
rainforest	otu	shannon	7	0.08
rainforest	otu	shannon	8	0.08
rainforest	otu	shannon	9	0.07
rainforest	otu	shannon	10	0.07
rainforest	otu	shannon	11	0.07
rainforest	otu	sobs	1	0.23
rainforest	otu	sobs	2	0.07
rainforest	otu	sobs	3	0.08
rainforest	otu	sobs	4	0.06
rainforest	otu	sobs	5	0.08
rainforest	otu	sobs	6	0.07
rainforest	otu	sobs	7	0.07
rainforest	otu	sobs	8	0.07
rainforest	otu	sobs	9	0.07
rainforest	otu	sobs	10	0.07
rainforest	otu	sobs	11	0.06
rainforest	pc	invsimpson	1	0.5
rainforest	pc	invsimpson	2	0.14
rainforest	pc	invsimpson	3	0.11
rainforest	pc	invsimpson	4	0.12
rainforest	pc	invsimpson	5	0.1
rainforest	pc	invsimpson	6	0.11
rainforest	pc	invsimpson	7	0.1
rainforest	pc	invsimpson	8	0.1
rainforest	pc	invsimpson	9	0.1
rainforest	pc	invsimpson	10	0.1
rainforest	pc	invsimpson	11	0.1
rainforest	pc	shannon	1	0.61
rainforest	pc	shannon	2	0.11
rainforest	pc	shannon	3	0.08
rainforest	pc	shannon	4	0.07
rainforest	pc	shannon	5	0.07
rainforest	pc	shannon	6	0.08
rainforest	pc	shannon	7	0.08
rainforest	pc	shannon	8	0.08
rainforest	pc	shannon	9	0.07
rainforest	pc	shannon	10	0.08
rainforest	pc	shannon	11	0.08
rainforest	pc	sobs	1	0.49
rainforest	pc	sobs	2	0.08
rainforest	pc	sobs	3	0.07
rainforest	pc	sobs	4	0.07
rainforest	pc	sobs	5	0.07
rainforest	pc	sobs	6	0.07
rainforest	pc	sobs	7	0.07
rainforest	pc	sobs	8	0.07
rainforest	pc	sobs	9	0.06
rainforest	pc	sobs	10	0.07
rainforest	pc	sobs	11	0.06
rice	otu	invsimpson	1	0.85
rice	otu	invsimpson	2	0.2
rice	otu	invsimpson	3	0.1
rice	otu	invsimpson	4	0.06
rice	otu	invsimpson	5	0.05
rice	otu	invsimpson	6	0.06
rice	otu	invsimpson	7	0.05
rice	otu	invsimpson	8	0.05
rice	otu	invsimpson	9	0.05
rice	otu	invsimpson	10	0.05
rice	otu	invsimpson	11	0.05
rice	otu	shannon	1	0.87
rice	otu	shannon	2	0.1
rice	otu	shannon	3	0.07
rice	otu	shannon	4	0.07
rice	otu	shannon	5	0.06
rice	otu	shannon	6	0.06
rice	otu	shannon	7	0.06
rice	otu	shannon	8	0.05
rice	otu	shannon	9	0.05
rice	otu	shannon	10	0.05
rice	otu	shannon	11	0.05
rice	otu	sobs	1	0.77
rice	otu	sobs	2	0.06
rice	otu	sobs	3	0.05
rice	otu	sobs	4	0.04
rice	otu	sobs	5	0.05
rice	otu	sobs	6	0.04
rice	otu	sobs	7	0.05
rice	otu	sobs	8	0.05
rice	otu	sobs	9	0.05
rice	otu	sobs	10	0.05
rice	otu	sobs	11	0.04
rice	pc	invsimpson	1	0.94
rice	pc	invsimpson	2	0.18
rice	pc	invsimpson	3	0.09
rice	pc	invsimpson	4	0.06
rice	pc	invsimpson	5	0.03
rice	pc	invsimpson	6	0.04
rice	pc	invsimpson	7	0.05
rice	pc	invsimpson	8	0.03
rice	pc	invsimpson	9	0.05
rice	pc	invsimpson	10	0.04
rice	pc	invsimpson	11	0.04
rice	pc	shannon	1	0.92
rice	pc	shannon	2	0.15
rice	pc	shannon	3	0.04
rice	pc	shannon	4	0.03
rice	pc	shannon	5	0.03
rice	pc	shannon	6	0.04
rice	pc	shannon	7	0.04
rice	pc	shannon	8	0.04
rice	pc	shannon	9	0.05
rice	pc	shannon	10	0.03
rice	pc	shannon	11	0.04
rice	pc	sobs	1	0.92
rice	pc	sobs	2	0.09
rice	pc	sobs	3	0.04
rice	pc	sobs	4	0.03
rice	pc	sobs	5	0.03
rice	pc	sobs	6	0.04
rice	pc	sobs	7	0.04
rice	pc	sobs	8	0.05
rice	pc	sobs	9	0.05
rice	pc	sobs	10	0.03
rice	pc	sobs	11	0.04
seagrass	otu	invsimpson	1	0.69
seagrass	otu	invsimpson	2	0.18
seagrass	otu	invsimpson	3	0.14
seagrass	otu	invsimpson	4	0.12
seagrass	otu	invsimpson	5	0.13
seagrass	otu	invsimpson	6	0.1
seagrass	otu	invsimpson	7	0.1
seagrass	otu	invsimpson	8	0.08
seagrass	otu	invsimpson	9	0.08
seagrass	otu	invsimpson	10	0.08
seagrass	otu	invsimpson	11	0.07
seagrass	otu	shannon	1	0.77
seagrass	otu	shannon	2	0.12
seagrass	otu	shannon	3	0.1
seagrass	otu	shannon	4	0.1
seagrass	otu	shannon	5	0.07
seagrass	otu	shannon	6	0.08
seagrass	otu	shannon	7	0.08
seagrass	otu	shannon	8	0.09
seagrass	otu	shannon	9	0.08
seagrass	otu	shannon	10	0.07
seagrass	otu	shannon	11	0.07
seagrass	otu	sobs	1	0.63
seagrass	otu	sobs	2	0.1
seagrass	otu	sobs	3	0.08
seagrass	otu	sobs	4	0.06
seagrass	otu	sobs	5	0.05
seagrass	otu	sobs	6	0.05
seagrass	otu	sobs	7	0.06
seagrass	otu	sobs	8	0.06
seagrass	otu	sobs	9	0.05
seagrass	otu	sobs	10	0.04
seagrass	otu	sobs	11	0.05
seagrass	pc	invsimpson	1	0.75
seagrass	pc	invsimpson	2	0.19
seagrass	pc	invsimpson	3	0.14
seagrass	pc	invsimpson	4	0.13
seagrass	pc	invsimpson	5	0.13
seagrass	pc	invsimpson	6	0.11
seagrass	pc	invsimpson	7	0.1
seagrass	pc	invsimpson	8	0.1
seagrass	pc	invsimpson	9	0.09
seagrass	pc	invsimpson	10	0.09
seagrass	pc	invsimpson	11	0.08
seagrass	pc	shannon	1	0.88
seagrass	pc	shannon	2	0.13
seagrass	pc	shannon	3	0.1
seagrass	pc	shannon	4	0.09
seagrass	pc	shannon	5	0.09
seagrass	pc	shannon	6	0.1
seagrass	pc	shannon	7	0.1
seagrass	pc	shannon	8	0.08
seagrass	pc	shannon	9	0.08
seagrass	pc	shannon	10	0.08
seagrass	pc	shannon	11	0.08
seagrass	pc	sobs	1	0.85
seagrass	pc	sobs	2	0.09
seagrass	pc	sobs	3	0.08
seagrass	pc	sobs	4	0.07
seagrass	pc	sobs	5	0.05
seagrass	pc	sobs	6	0.05
seagrass	pc	sobs	7	0.06
seagrass	pc	sobs	8	0.05
seagrass	pc	sobs	9	0.05
seagrass	pc	sobs	10	0.05
seagrass	pc	sobs	11	0.05
sediment	otu	invsimpson	1	0.39
sediment	otu	invsimpson	2	0.12
sediment	otu	invsimpson	3	0.1
sediment	otu	invsimpson	4	0.11
sediment	otu	invsimpson	5	0.1
sediment	otu	invsimpson	6	0.11
sediment	otu	invsimpson	7	0.11
sediment	otu	invsimpson	8	0.11
sediment	otu	invsimpson	9	0.1
sediment	otu	invsimpson	10	0.09
sediment	otu	invsimpson	11	0.09
sediment	otu	shannon	1	0.49
sediment	otu	shannon	2	0.1
sediment	otu	shannon	3	0.09
sediment	otu	shannon	4	0.08
sediment	otu	shannon	5	0.08
sediment	otu	shannon	6	0.08
sediment	otu	shannon	7	0.07
sediment	otu	shannon	8	0.08
sediment	otu	shannon	9	0.07
sediment	otu	shannon	10	0.07
sediment	otu	shannon	11	0.09
sediment	otu	sobs	1	0.23
sediment	otu	sobs	2	0.07
sediment	otu	sobs	3	0.06
sediment	otu	sobs	4	0.04
sediment	otu	sobs	5	0.05
sediment	otu	sobs	6	0.05
sediment	otu	sobs	7	0.05
sediment	otu	sobs	8	0.06
sediment	otu	sobs	9	0.07
sediment	otu	sobs	10	0.05
sediment	otu	sobs	11	0.07
sediment	pc	invsimpson	1	0.36
sediment	pc	invsimpson	2	0.13
sediment	pc	invsimpson	3	0.12
sediment	pc	invsimpson	4	0.11
sediment	pc	invsimpson	5	0.11
sediment	pc	invsimpson	6	0.13
sediment	pc	invsimpson	7	0.11
sediment	pc	invsimpson	8	0.1
sediment	pc	invsimpson	9	0.1
sediment	pc	invsimpson	10	0.11
sediment	pc	invsimpson	11	0.11
sediment	pc	shannon	1	0.69
sediment	pc	shannon	2	0.09
sediment	pc	shannon	3	0.09
sediment	pc	shannon	4	0.07
sediment	pc	shannon	5	0.07
sediment	pc	shannon	6	0.08
sediment	pc	shannon	7	0.06
sediment	pc	shannon	8	0.07
sediment	pc	shannon	9	0.05
sediment	pc	shannon	10	0.06
sediment	pc	shannon	11	0.07
sediment	pc	sobs	1	0.57
sediment	pc	sobs	2	0.07
sediment	pc	sobs	3	0.07
sediment	pc	sobs	4	0.06
sediment	pc	sobs	5	0.06
sediment	pc	sobs	6	0.06
sediment	pc	sobs	7	0.06
sediment	pc	sobs	8	0.06
sediment	pc	sobs	9	0.06
sediment	pc	sobs	10	0.06
sediment	pc	sobs	11	0.07
soil	otu	invsimpson	1	0.27
soil	otu	invsimpson	2	0.24
soil	otu	invsimpson	3	0.26
soil	otu	invsimpson	4	0.23
soil	otu	invsimpson	5	0.23
soil	otu	invsimpson	6	0.18
soil	otu	invsimpson	7	0.17
soil	otu	invsimpson	8	0.17
soil	otu	invsimpson	9	0.15
soil	otu	invsimpson	10	0.16
soil	otu	invsimpson	11	0.17
soil	otu	shannon	1	0.36
soil	otu	shannon	2	0.11
soil	otu	shannon	3	0.09
soil	otu	shannon	4	0.08
soil	otu	shannon	5	0.08
soil	otu	shannon	6	0.09
soil	otu	shannon	7	0.07
soil	otu	shannon	8	0.06
soil	otu	shannon	9	0.05
soil	otu	shannon	10	0.06
soil	otu	shannon	11	0.07
soil	otu	sobs	1	0.1
soil	otu	sobs	2	0.02
soil	otu	sobs	3	0.01
soil	otu	sobs	4	0.03
soil	otu	sobs	5	0.03
soil	otu	sobs	6	0.02
soil	otu	sobs	7	0.03
soil	otu	sobs	8	0.03
soil	otu	sobs	9	0.03
soil	otu	sobs	10	0.01
soil	otu	sobs	11	0.03
soil	pc	invsimpson	1	0.37
soil	pc	invsimpson	2	0.29
soil	pc	invsimpson	3	0.25
soil	pc	invsimpson	4	0.23
soil	pc	invsimpson	5	0.21
soil	pc	invsimpson	6	0.18
soil	pc	invsimpson	7	0.16
soil	pc	invsimpson	8	0.17
soil	pc	invsimpson	9	0.14
soil	pc	invsimpson	10	0.11
soil	pc	invsimpson	11	0.14
soil	pc	shannon	1	0.5
soil	pc	shannon	2	0.13
soil	pc	shannon	3	0.1
soil	pc	shannon	4	0.08
soil	pc	shannon	5	0.09
soil	pc	shannon	6	0.06
soil	pc	shannon	7	0.06
soil	pc	shannon	8	0.07
soil	pc	shannon	9	0.05
soil	pc	shannon	10	0.08
soil	pc	shannon	11	0.05
soil	pc	sobs	1	0.27
soil	pc	sobs	2	0.02
soil	pc	sobs	3	0.02
soil	pc	sobs	4	0.02
soil	pc	sobs	5	0.01
soil	pc	sobs	6	0.02
soil	pc	sobs	7	0.02
soil	pc	sobs	8	0.03
soil	pc	sobs	9	0.05
soil	pc	sobs	10	0.01
soil	pc	sobs	11	0.03
stream	otu	invsimpson	1	0.97
stream	otu	invsimpson	2	0.28
stream	otu	invsimpson	3	0.24
stream	otu	invsimpson	4	0.24
stream	otu	invsimpson	5	0.23
stream	otu	invsimpson	6	0.23
stream	otu	invsimpson	7	0.23
stream	otu	invsimpson	8	0.23
stream	otu	invsimpson	9	0.23
stream	otu	invsimpson	10	0.23
stream	otu	invsimpson	11	0.23
stream	otu	shannon	1	0.96
stream	otu	shannon	2	0.19
stream	otu	shannon	3	0.15
stream	otu	shannon	4	0.13
stream	otu	shannon	5	0.1
stream	otu	shannon	6	0.11
stream	otu	shannon	7	0.11
stream	otu	shannon	8	0.1
stream	otu	shannon	9	0.1
stream	otu	shannon	10	0.1
stream	otu	shannon	11	0.1
stream	otu	sobs	1	0.87
stream	otu	sobs	2	0.1
stream	otu	sobs	3	0.09
stream	otu	sobs	4	0.08
stream	otu	sobs	5	0.07
stream	otu	sobs	6	0.08
stream	otu	sobs	7	0.08
stream	otu	sobs	8	0.07
stream	otu	sobs	9	0.08
stream	otu	sobs	10	0.07
stream	otu	sobs	11	0.08
stream	pc	invsimpson	1	1
stream	pc	invsimpson	2	0.32
stream	pc	invsimpson	3	0.29
stream	pc	invsimpson	4	0.27
stream	pc	invsimpson	5	0.26
stream	pc	invsimpson	6	0.25
stream	pc	invsimpson	7	0.23
stream	pc	invsimpson	8	0.21
stream	pc	invsimpson	9	0.21
stream	pc	invsimpson	10	0.21
stream	pc	invsimpson	11	0.22
stream	pc	shannon	1	0.98
stream	pc	shannon	2	0.2
stream	pc	shannon	3	0.14
stream	pc	shannon	4	0.13
stream	pc	shannon	5	0.11
stream	pc	shannon	6	0.13
stream	pc	shannon	7	0.12
stream	pc	shannon	8	0.11
stream	pc	shannon	9	0.11
stream	pc	shannon	10	0.12
stream	pc	shannon	11	0.12
stream	pc	sobs	1	0.94
stream	pc	sobs	2	0.13
stream	pc	sobs	3	0.1
stream	pc	sobs	4	0.09
stream	pc	sobs	5	0.08
stream	pc	sobs	6	0.08
stream	pc	sobs	7	0.08
stream	pc	sobs	8	0.08
stream	pc	sobs	9	0.08
stream	pc	sobs	10	0.08
stream	pc	sobs	11	0.07
