dataset	method	prune	mean_n_seqs	mean_sobs	sd_sobs	cv_sobs	mean_shannon	sd_shannon	cv_shannon	mean_invsimpson	sd_invsimpson	cv_invsimpson
bioethanol	pc	1	3688	133.07354631578949	4.923963728125533	0.037002165089508696	2.422401862842105	0.016070343311294838	0.006634094771576788	6.37915673168421	0.0744447299752452	0.011669970443650672
bioethanol	pc	2	3603.36	79.77008947368421	21.153591203207498	0.2651919848666026	2.323202231894737	0.04275025530616758	0.018401774652509393	6.197100669894737	0.10054088792641801	0.016224764790753098
bioethanol	pc	3	3576.68	65.39682736842106	23.381370881873053	0.35754011979717737	2.2897151644210525	0.05259354071523915	0.02296979577192233	6.1346959083157895	0.11495928244014061	0.018740127839493366
bioethanol	pc	4	3560.75	57.68300631578948	23.351073996902148	0.4048244950960231	2.2693262983157894	0.05718745471669699	0.025200505100903166	6.096184875263158	0.12294209525867918	0.020167993045994058
bioethanol	pc	5	3550.27	52.56361578947369	22.722253305937794	0.43228736895749154	2.2545756462105264	0.059595937373901335	0.026433633888482272	6.067792255578947	0.12773897682269908	0.02105291302969765
bioethanol	pc	6	3541.72	48.81468210526316	21.94534522302254	0.4495700481618722	2.2429192068421053	0.06116019393238901	0.02726843946024462	6.045005955157895	0.13148883575302164	0.02175261935680061
bioethanol	pc	7	3534.76	45.85735052631579	21.128361281561332	0.4607474754295625	2.233202942842105	0.062210311279743434	0.027857348023025724	6.025746220947369	0.13426542529300278	0.022282998133244497
bioethanol	pc	8	3527.97	43.46228315789474	20.364397002823175	0.46855721899162733	2.2249031430526314	0.06298516434726918	0.028309507639702466	6.00924265	0.13661034467563446	0.022734385031306672
bioethanol	pc	9	3523.01	41.47687684210526	19.649011190429377	0.4737392558933668	2.217674217894737	0.06355748445619679	0.028659878239085786	5.994503302	0.13853271767699685	0.023110956243765513
bioethanol	pc	10	3516.8	39.781212631578946	18.970347456823124	0.47687267569063924	2.2112353805263156	0.06405770380163107	0.02896957208076043	5.9814760174736845	0.14035728512119186	0.023466384763323113
bioethanol	pc	11	3509.9	38.31740105263158	18.355503377010567	0.47904395729702204	2.2053493048421053	0.06467682812872706	0.029327656208719948	5.9692821298947365	0.14243854625185112	0.02386307425194808
human	pc	1	10523	1083.053216122449	12.466510534917946	0.011510516189477663	5.362072084489796	0.010904377668491776	0.002033612652275079	83.59792532308163	1.2488579100260997	0.014938885702180993
human	pc	2	9946.49	721.9053675510204	85.63231951710256	0.11861988116355009	5.189768979061225	0.044844279364094214	0.008640906079189948	78.03944160889796	1.784684391066556	0.022869169807216507
human	pc	3	9684.55	604.7545377551021	104.92843837121013	0.17350581786870273	5.118601282959184	0.06550780443656494	0.012797994585973317	75.78021087969388	2.328269012141676	0.030724168028582577
human	pc	4	9494.3	531.5779955102041	110.62982158108305	0.20811582325085676	5.065805065306122	0.0798119180977983	0.015755037809262695	74.08538171155102	2.752139861226526	0.037148413599894174
human	pc	5	9330.43	479.49004591836734	111.33345349186523	0.23219127209280213	5.022593062897959	0.09086220836177622	0.01809070263112802	72.68695859983673	3.1000765672821573	0.04264988393665085
human	pc	6	9177.13	439.7521412244898	110.08743736757688	0.2503396750035796	4.985365455326531	0.10026236348259077	0.020111342819248725	71.4735614957347	3.410870844369785	0.04772232973202682
human	pc	7	9031.27	408.1262036734694	108.0116709674032	0.26465261117847017	4.952376047183673	0.10858829931375207	0.02192651211194583	70.39027090206122	3.6900165846477044	0.052422441032333934
human	pc	8	8882.82	382.0957765306122	105.66282069024092	0.27653490569813205	4.922391789122449	0.11649404385079488	0.023666154085216516	69.4016916942449	3.961023628489055	0.057074056600760405
human	pc	9	8737.53	360.1240142857143	103.30323439876447	0.28685451468081336	4.8946501541224485	0.12422746514551787	0.025380262358655363	68.48545399581633	4.228202257005053	0.06173888345819355
human	pc	10	8605.48	341.24150367346937	101.14353588690406	0.29639863350006374	4.8685876497755105	0.13203871573946363	0.027120548037920026	67.61897068216327	4.497636422455731	0.06651462970663867
human	pc	11	8477.68	324.7291106122449	99.16411708391165	0.30537489518102595	4.843856037714286	0.13996107299400376	0.02889456775418031	66.7966955740204	4.769145245830795	0.07139813085347078
lake	pc	1	15347	2994.2828692307694	22.844078009739484	0.007629307578709332	5.992227075769231	0.011055166701654314	0.0018449222711193992	86.62901918846154	1.1124009277062492	0.012840748202777875
lake	pc	2	13150.32	1291.7371865384616	174.77841454581548	0.13530589142263605	5.424022117115385	0.06979990491651357	0.012868714149086127	68.70534462230769	2.037183179087087	0.029652572072839188
lake	pc	3	12629.66	1023.9123942307692	188.00979244595985	0.18361964818027798	5.3029647276923075	0.09407700920069301	0.01774051854302295	65.42884441576923	2.5816560665968797	0.039459182119989764
lake	pc	4	12275.21	871.3591365384615	184.97728970180876	0.21228694912109886	5.22135532826923	0.11055532959558623	0.02117375357680981	63.2592498475	2.968144955245001	0.046921920456804156
lake	pc	5	11986.21	766.5465038461539	177.72030447449998	0.23184584130197966	5.157113997115385	0.1234164125789326	0.0239313529967096	61.56425764615385	3.274581085647924	0.053191161098305455
lake	pc	6	11744.76	688.2163596153846	169.35856833664675	0.24608408988914052	5.1031585325	0.13387576762539263	0.026233976979958176	60.14886063576923	3.5241033917103892	0.05859128049571567
lake	pc	7	11530.74	626.5630673076923	160.64480809529553	0.25639100709536505	5.056224094230769	0.14250073787221318	0.02818330364845368	58.927176217884615	3.732198235976339	0.06333728989167836
lake	pc	8	11339.01	576.1778884615385	152.28655805865563	0.264305510278017	5.01403157326923	0.15001770428605843	0.02991964433860074	57.83119654307692	3.910524945348992	0.06762094499749582
lake	pc	9	11150.13	534.0885807692308	144.41476012165373	0.2703955983320245	4.975686903461538	0.15683994693925166	0.0315213434057985	56.840151051346155	4.070382390643238	0.07161244342661911
lake	pc	10	10983.81	498.36672115384613	137.15242472642828	0.2752040544012233	4.940452601730769	0.16299160804430352	0.03299130516664372	55.93102076480769	4.2119421729109945	0.07530741323827696
lake	pc	11	10818.91	467.5441596153846	130.48932930025728	0.27909529893797064	4.907637365961539	0.16894112872651965	0.034424220509728626	55.08731743826923	4.349332625394521	0.07895509189508247
marine	pc	1	133516	13541.679271428571	77.12133357893063	0.00569522810819653	5.836373561428571	0.006410673691269482	0.0010984024754930532	45.48284067142857	0.32895911414952633	0.0072325808748111954
marine	pc	2	122803.74	3446.166357142857	339.49544157562843	0.09851401127588513	5.270174414285714	0.021144519801530665	0.004012154351992867	38.88054552	0.3493553797455096	0.008986510931608278
marine	pc	3	120981.68	2431.4198714285712	298.70487195542523	0.12285093366360113	5.18015032	0.027786213068121856	0.005364017417493286	37.89368922	0.3959985488022525	0.01045160438487009
marine	pc	4	119722.19	1920.7014285714286	252.35721705872143	0.13138938578626927	5.119253645714286	0.03171856884000683	0.00619598093627658	37.21343831	0.432634861408882	0.011627187563558593
marine	pc	5	118759.23	1610.6695857142856	215.09335493209545	0.13354372706702897	5.072584471428572	0.034139731739065475	0.006730294882637756	36.68512493857143	0.4593490214929679	0.012522998818511795
marine	pc	6	117954.28	1402.2496428571428	187.23586796822926	0.13352559176812298	5.034617537142857	0.03598190501263742	0.007146956498541024	36.24846107	0.4806754584995091	0.013262189061994728
marine	pc	7	117257.14	1251.1830857142857	166.20722050433116	0.13284018980609932	5.002364362857143	0.03750844327652944	0.007498200147686573	35.87508064285714	0.4983409509284125	0.0138927207316663
marine	pc	8	116648.21	1136.9176142857143	150.09013116719893	0.1320149312023774	4.974382394285715	0.03883466433404644	0.007806993180517348	35.54646613857143	0.515972874832567	0.014517212601286831
marine	pc	9	116086.29	1046.6425142857142	137.48537366474827	0.13135672470314183	4.9494327685714286	0.04010858609966071	0.008103713548367584	35.250545654285716	0.5325204371512873	0.015108545401420793
marine	pc	10	115567.89	973.1594428571428	127.76950821045867	0.1312919269774478	4.926844692857143	0.0414155638142268	0.00840614304514707	34.98161353857143	0.5490016242244529	0.015695719197232155
marine	pc	11	115074.39	911.4246285714286	120.09368901319374	0.13176384714703265	4.9059571942857145	0.042805362192763576	0.008725224145410508	34.73054450857143	0.5663170202215626	0.01630761000361603
mice	pc	1	1804	212.09222413793103	4.886812056033551	0.023040999634630223	3.8586607841091953	0.023561712356508183	0.006106185685207851	22.66056149632184	0.4727522901815595	0.02086226831974715
mice	pc	2	1698.16	148.11454626436782	12.431665775376933	0.08393329077297818	3.6901974726724136	0.040857533894993525	0.011071968909246261	21.110386823994254	0.5255161890830189	0.02489413783183627
mice	pc	3	1641.89	130.1839712643678	16.522600507801574	0.12691768660962763	3.6318703849712644	0.060415220217023946	0.01663481986176306	20.588158880632182	0.6551374230080435	0.03182162533368563
mice	pc	4	1589.19	117.62419971264367	19.063175517858173	0.16206832044541086	3.583600356034483	0.07982110901788746	0.022274089715591087	20.15362574454023	0.8086457507468083	0.04012470314969343
mice	pc	5	1538.03	107.67429022988506	20.796651489868434	0.19314428771451914	3.539257915948276	0.09906509170454399	0.027990462071801923	19.751915849109196	0.9716194909183876	0.04919175572323153
mice	pc	6	1495.63	99.48562241379311	22.101254126008566	0.22215534520323013	3.4976082368390804	0.11804334427085163	0.03374985235396614	19.372433969224137	1.1351552864397483	0.05859702905124461
mice	pc	7	1458.15	92.4900408045977	23.097495267683975	0.24972938345251378	3.457692273448276	0.13642141326609586	0.03945456301218572	19.008459299827585	1.2940461490157362	0.06807798166634278
mice	pc	8	1427.66	86.37259683908046	23.84401289487381	0.2760600174249639	3.4190317697413795	0.1535103890305259	0.04489890910544349	18.65529499603448	1.4398998805314511	0.07718512301543398
mice	pc	9	1401.51	80.95786206896551	24.39916696472553	0.30138131656478817	3.3816332808908047	0.1694584808582437	0.050111563124336504	18.31551034758621	1.5747735324966639	0.08598092964065078
mice	pc	10	1376.93	76.11577586206897	24.745757995051	0.32510710097167694	3.34554909387931	0.18371704920981877	0.054914017163913295	17.989156788103447	1.6931435342138224	0.09412086627647363
mice	pc	11	1357.07	71.76572212643678	24.958031736494487	0.347771442991457	3.3107188497701148	0.19658812015181762	0.05937944402592275	17.67538440954023	1.7981964874471963	0.10173511638034556
peromyscus	pc	1	4464	964.6400774774775	11.718768286753063	0.012148259269271669	5.631545251351351	0.019015128901367813	0.0033765468158527896	69.72177164405406	2.228088855552853	0.03195705994582743
peromyscus	pc	2	3939.19	627.2803675675675	73.65397964143772	0.11741780011987521	5.330727620810811	0.0779287745522767	0.014618844683928925	59.96138037927928	2.9916177865778053	0.049895162736408066
peromyscus	pc	3	3661.77	505.4122945945946	90.89344848463456	0.17983965929494838	5.181410190990991	0.12252334076622996	0.023646799834189405	55.5204888409009	3.975137517838947	0.07160059829353933
peromyscus	pc	4	3448.35	426.9410018018018	94.63251457744806	0.22165141051853948	5.0616456806306305	0.15487545779946416	0.030597943754238455	52.08250678513514	4.686503037123814	0.0899852561693572
peromyscus	pc	5	3273.75	370.9273801801802	93.2038312068245	0.25127129720592567	4.9597742897297294	0.1795305697470318	0.03619746584936372	49.24521520468468	5.18732134359294	0.10533981719231025
peromyscus	pc	6	3121.5	328.7277189189189	90.02191516285414	0.2738492236989215	4.870663527837838	0.2000670009992051	0.04107607592304726	46.844131617117114	5.5678521172313165	0.11886214933680699
peromyscus	pc	7	2981.76	295.36672252252254	86.383821990912935	0.2924620751741729	4.789942395135135	0.21915427121846717	0.0457531624634617	44.73522801045045	5.893017581691918	0.13173395257704548
