dataset	method	metric	prune	frac_sig
bioethanol	otu	invsimpson	1	0.06
bioethanol	otu	invsimpson	2	1
bioethanol	otu	invsimpson	3	1
bioethanol	otu	invsimpson	4	1
bioethanol	otu	invsimpson	5	1
bioethanol	otu	invsimpson	6	1
bioethanol	otu	invsimpson	7	1
bioethanol	otu	invsimpson	8	1
bioethanol	otu	invsimpson	9	1
bioethanol	otu	invsimpson	10	1
bioethanol	otu	invsimpson	11	1
bioethanol	otu	shannon	1	0.06
bioethanol	otu	shannon	2	1
bioethanol	otu	shannon	3	1
bioethanol	otu	shannon	4	1
bioethanol	otu	shannon	5	1
bioethanol	otu	shannon	6	1
bioethanol	otu	shannon	7	1
bioethanol	otu	shannon	8	1
bioethanol	otu	shannon	9	1
bioethanol	otu	shannon	10	1
bioethanol	otu	shannon	11	1
bioethanol	otu	sobs	1	0.03
bioethanol	otu	sobs	2	1
bioethanol	otu	sobs	3	1
bioethanol	otu	sobs	4	1
bioethanol	otu	sobs	5	1
bioethanol	otu	sobs	6	1
bioethanol	otu	sobs	7	1
bioethanol	otu	sobs	8	1
bioethanol	otu	sobs	9	1
bioethanol	otu	sobs	10	1
bioethanol	otu	sobs	11	1
bioethanol	pc	invsimpson	1	0.11
bioethanol	pc	invsimpson	2	1
bioethanol	pc	invsimpson	3	1
bioethanol	pc	invsimpson	4	1
bioethanol	pc	invsimpson	5	1
bioethanol	pc	invsimpson	6	1
bioethanol	pc	invsimpson	7	1
bioethanol	pc	invsimpson	8	1
bioethanol	pc	invsimpson	9	1
bioethanol	pc	invsimpson	10	1
bioethanol	pc	invsimpson	11	1
bioethanol	pc	shannon	1	0.05
bioethanol	pc	shannon	2	1
bioethanol	pc	shannon	3	1
bioethanol	pc	shannon	4	1
bioethanol	pc	shannon	5	1
bioethanol	pc	shannon	6	1
bioethanol	pc	shannon	7	1
bioethanol	pc	shannon	8	1
bioethanol	pc	shannon	9	1
bioethanol	pc	shannon	10	1
bioethanol	pc	shannon	11	1
bioethanol	pc	sobs	1	0.06
bioethanol	pc	sobs	2	1
bioethanol	pc	sobs	3	1
bioethanol	pc	sobs	4	1
bioethanol	pc	sobs	5	1
bioethanol	pc	sobs	6	1
bioethanol	pc	sobs	7	1
bioethanol	pc	sobs	8	1
bioethanol	pc	sobs	9	1
bioethanol	pc	sobs	10	1
bioethanol	pc	sobs	11	1
human	otu	invsimpson	1	0.03
human	otu	invsimpson	2	1
human	otu	invsimpson	3	1
human	otu	invsimpson	4	1
human	otu	invsimpson	5	1
human	otu	invsimpson	6	1
human	otu	invsimpson	7	1
human	otu	invsimpson	8	1
human	otu	invsimpson	9	1
human	otu	invsimpson	10	1
human	otu	invsimpson	11	1
human	otu	shannon	1	0.04
human	otu	shannon	2	1
human	otu	shannon	3	1
human	otu	shannon	4	1
human	otu	shannon	5	1
human	otu	shannon	6	1
human	otu	shannon	7	1
human	otu	shannon	8	1
human	otu	shannon	9	1
human	otu	shannon	10	1
human	otu	shannon	11	1
human	otu	sobs	1	0.04
human	otu	sobs	2	1
human	otu	sobs	3	1
human	otu	sobs	4	1
human	otu	sobs	5	1
human	otu	sobs	6	1
human	otu	sobs	7	1
human	otu	sobs	8	1
human	otu	sobs	9	1
human	otu	sobs	10	1
human	otu	sobs	11	1
human	pc	invsimpson	1	0.02
human	pc	invsimpson	2	1
human	pc	invsimpson	3	1
human	pc	invsimpson	4	1
human	pc	invsimpson	5	1
human	pc	invsimpson	6	1
human	pc	invsimpson	7	1
human	pc	invsimpson	8	1
human	pc	invsimpson	9	1
human	pc	invsimpson	10	1
human	pc	invsimpson	11	1
human	pc	shannon	1	0.04
human	pc	shannon	2	1
human	pc	shannon	3	1
human	pc	shannon	4	1
human	pc	shannon	5	1
human	pc	shannon	6	1
human	pc	shannon	7	1
human	pc	shannon	8	1
human	pc	shannon	9	1
human	pc	shannon	10	1
human	pc	shannon	11	1
human	pc	sobs	1	0.02
human	pc	sobs	2	1
human	pc	sobs	3	1
human	pc	sobs	4	1
human	pc	sobs	5	1
human	pc	sobs	6	1
human	pc	sobs	7	1
human	pc	sobs	8	1
human	pc	sobs	9	1
human	pc	sobs	10	1
human	pc	sobs	11	1
lake	otu	invsimpson	1	0.07
lake	otu	invsimpson	2	1
lake	otu	invsimpson	3	1
lake	otu	invsimpson	4	1
lake	otu	invsimpson	5	1
lake	otu	invsimpson	6	1
lake	otu	invsimpson	7	1
lake	otu	invsimpson	8	1
lake	otu	invsimpson	9	1
lake	otu	invsimpson	10	1
lake	otu	invsimpson	11	1
lake	otu	shannon	1	0
lake	otu	shannon	2	1
lake	otu	shannon	3	1
lake	otu	shannon	4	1
lake	otu	shannon	5	1
lake	otu	shannon	6	1
lake	otu	shannon	7	1
lake	otu	shannon	8	1
lake	otu	shannon	9	1
lake	otu	shannon	10	1
lake	otu	shannon	11	1
lake	otu	sobs	1	0.04
lake	otu	sobs	2	1
lake	otu	sobs	3	1
lake	otu	sobs	4	1
lake	otu	sobs	5	1
lake	otu	sobs	6	1
lake	otu	sobs	7	1
lake	otu	sobs	8	1
lake	otu	sobs	9	1
lake	otu	sobs	10	1
lake	otu	sobs	11	1
lake	pc	invsimpson	1	0.03
lake	pc	invsimpson	2	1
lake	pc	invsimpson	3	1
lake	pc	invsimpson	4	1
lake	pc	invsimpson	5	1
lake	pc	invsimpson	6	1
lake	pc	invsimpson	7	1
lake	pc	invsimpson	8	1
lake	pc	invsimpson	9	1
lake	pc	invsimpson	10	1
lake	pc	invsimpson	11	1
lake	pc	shannon	1	0.03
lake	pc	shannon	2	1
lake	pc	shannon	3	1
lake	pc	shannon	4	1
lake	pc	shannon	5	1
