dataset	method	metric	prune	frac_sig
lake	pc	shannon	6	1
lake	pc	shannon	7	1
lake	pc	shannon	8	1
lake	pc	shannon	9	1
lake	pc	shannon	10	1
lake	pc	shannon	11	1
lake	pc	sobs	1	0.03
lake	pc	sobs	2	1
lake	pc	sobs	3	1
lake	pc	sobs	4	1
lake	pc	sobs	5	1
lake	pc	sobs	6	1
lake	pc	sobs	7	1
lake	pc	sobs	8	1
lake	pc	sobs	9	1
lake	pc	sobs	10	1
lake	pc	sobs	11	1
marine	otu	invsimpson	1	0
marine	otu	invsimpson	2	0
marine	otu	invsimpson	3	0
marine	otu	invsimpson	4	0
marine	otu	invsimpson	5	0
marine	otu	invsimpson	6	0
marine	otu	invsimpson	7	0
marine	otu	invsimpson	8	0
marine	otu	invsimpson	9	0
marine	otu	invsimpson	10	0
marine	otu	invsimpson	11	0
marine	otu	shannon	1	0
marine	otu	shannon	2	0
marine	otu	shannon	3	0
marine	otu	shannon	4	0
marine	otu	shannon	5	0
marine	otu	shannon	6	0
marine	otu	shannon	7	0
marine	otu	shannon	8	0
marine	otu	shannon	9	0
marine	otu	shannon	10	0
marine	otu	shannon	11	0
marine	otu	sobs	1	0
marine	otu	sobs	2	0
marine	otu	sobs	3	0
marine	otu	sobs	4	0
marine	otu	sobs	5	0
marine	otu	sobs	6	0
marine	otu	sobs	7	0
marine	otu	sobs	8	0
marine	otu	sobs	9	0.01
marine	otu	sobs	10	0.02
marine	otu	sobs	11	0.03
marine	pc	invsimpson	1	0
marine	pc	invsimpson	2	0
marine	pc	invsimpson	3	0
marine	pc	invsimpson	4	0
marine	pc	invsimpson	5	0
marine	pc	invsimpson	6	0
marine	pc	invsimpson	7	0
marine	pc	invsimpson	8	0
marine	pc	invsimpson	9	0
marine	pc	invsimpson	10	0
marine	pc	invsimpson	11	0
marine	pc	shannon	1	0
marine	pc	shannon	2	0
marine	pc	shannon	3	0
marine	pc	shannon	4	0
marine	pc	shannon	5	0
marine	pc	shannon	6	0
marine	pc	shannon	7	0
marine	pc	shannon	8	0
marine	pc	shannon	9	0
marine	pc	shannon	10	0
marine	pc	shannon	11	0
marine	pc	sobs	1	0
marine	pc	sobs	2	0
marine	pc	sobs	3	0
marine	pc	sobs	4	0
marine	pc	sobs	5	0
marine	pc	sobs	6	0
marine	pc	sobs	7	0
marine	pc	sobs	8	0
marine	pc	sobs	9	0
marine	pc	sobs	10	0
marine	pc	sobs	11	0.03
mice	otu	invsimpson	1	0.05
mice	otu	invsimpson	2	1
mice	otu	invsimpson	3	1
mice	otu	invsimpson	4	1
mice	otu	invsimpson	5	1
mice	otu	invsimpson	6	1
mice	otu	invsimpson	7	1
mice	otu	invsimpson	8	1
mice	otu	invsimpson	9	1
mice	otu	invsimpson	10	1
mice	otu	invsimpson	11	1
mice	otu	shannon	1	0.04
mice	otu	shannon	2	1
mice	otu	shannon	3	1
mice	otu	shannon	4	1
mice	otu	shannon	5	1
mice	otu	shannon	6	1
mice	otu	shannon	7	1
mice	otu	shannon	8	1
mice	otu	shannon	9	1
mice	otu	shannon	10	1
mice	otu	shannon	11	1
mice	otu	sobs	1	0.1
mice	otu	sobs	2	1
mice	otu	sobs	3	1
mice	otu	sobs	4	1
mice	otu	sobs	5	1
mice	otu	sobs	6	1
mice	otu	sobs	7	1
mice	otu	sobs	8	1
mice	otu	sobs	9	1
mice	otu	sobs	10	1
mice	otu	sobs	11	1
mice	pc	invsimpson	1	0.06
mice	pc	invsimpson	2	1
mice	pc	invsimpson	3	1
mice	pc	invsimpson	4	1
mice	pc	invsimpson	5	1
mice	pc	invsimpson	6	1
mice	pc	invsimpson	7	1
mice	pc	invsimpson	8	1
mice	pc	invsimpson	9	1
mice	pc	invsimpson	10	1
mice	pc	invsimpson	11	1
mice	pc	shannon	1	0.04
mice	pc	shannon	2	1
mice	pc	shannon	3	1
mice	pc	shannon	4	1
mice	pc	shannon	5	1
mice	pc	shannon	6	1
mice	pc	shannon	7	1
mice	pc	shannon	8	1
mice	pc	shannon	9	1
mice	pc	shannon	10	1
mice	pc	shannon	11	1
mice	pc	sobs	1	0.06
mice	pc	sobs	2	1
mice	pc	sobs	3	1
mice	pc	sobs	4	1
mice	pc	sobs	5	1
mice	pc	sobs	6	1
mice	pc	sobs	7	1
mice	pc	sobs	8	1
mice	pc	sobs	9	1
mice	pc	sobs	10	1
mice	pc	sobs	11	1
peromyscus	otu	invsimpson	1	0.02
peromyscus	otu	invsimpson	2	1
peromyscus	otu	invsimpson	3	1
peromyscus	otu	invsimpson	4	1
peromyscus	otu	invsimpson	5	1
peromyscus	otu	invsimpson	6	1
peromyscus	otu	invsimpson	7	1
peromyscus	otu	invsimpson	8	1
peromyscus	otu	invsimpson	9	1
peromyscus	otu	invsimpson	10	1
peromyscus	otu	invsimpson	11	1
peromyscus	otu	shannon	1	0.08
peromyscus	otu	shannon	2	1
peromyscus	otu	shannon	3	1
peromyscus	otu	shannon	4	1
peromyscus	otu	shannon	5	1
peromyscus	otu	shannon	6	1
peromyscus	otu	shannon	7	1
peromyscus	otu	shannon	8	1
peromyscus	otu	shannon	9	1
peromyscus	otu	shannon	10	1
peromyscus	otu	shannon	11	1
peromyscus	otu	sobs	1	0.04
peromyscus	otu	sobs	2	1
peromyscus	otu	sobs	3	1
peromyscus	otu	sobs	4	1
peromyscus	otu	sobs	5	1
peromyscus	otu	sobs	6	1
peromyscus	otu	sobs	7	1
peromyscus	otu	sobs	8	1
peromyscus	otu	sobs	9	1
peromyscus	otu	sobs	10	1
peromyscus	otu	sobs	11	1
peromyscus	pc	invsimpson	1	0.02
peromyscus	pc	invsimpson	2	1
peromyscus	pc	invsimpson	3	1
peromyscus	pc	invsimpson	4	1
peromyscus	pc	invsimpson	5	1
peromyscus	pc	invsimpson	6	1
peromyscus	pc	invsimpson	7	1
peromyscus	pc	invsimpson	8	1
peromyscus	pc	invsimpson	9	1
peromyscus	pc	invsimpson	10	1
peromyscus	pc	invsimpson	11	1
peromyscus	pc	shannon	1	0.07
peromyscus	pc	shannon	2	1
peromyscus	pc	shannon	3	1
peromyscus	pc	shannon	4	1
peromyscus	pc	shannon	5	1
peromyscus	pc	shannon	6	1
peromyscus	pc	shannon	7	1
peromyscus	pc	shannon	8	1
peromyscus	pc	shannon	9	1
peromyscus	pc	shannon	10	1
peromyscus	pc	shannon	11	1
peromyscus	pc	sobs	1	0.08
peromyscus	pc	sobs	2	1
peromyscus	pc	sobs	3	1
peromyscus	pc	sobs	4	1
peromyscus	pc	sobs	5	1
peromyscus	pc	sobs	6	1
peromyscus	pc	sobs	7	1
peromyscus	pc	sobs	8	1
peromyscus	pc	sobs	9	1
peromyscus	pc	sobs	10	1
peromyscus	pc	sobs	11	1
rainforest	otu	invsimpson	1	0.05
rainforest	otu	invsimpson	2	1
rainforest	otu	invsimpson	3	1
rainforest	otu	invsimpson	4	1
rainforest	otu	invsimpson	5	1
rainforest	otu	invsimpson	6	1
rainforest	otu	invsimpson	7	1
rainforest	otu	invsimpson	8	1
rainforest	otu	invsimpson	9	1
rainforest	otu	invsimpson	10	1
rainforest	otu	invsimpson	11	1
rainforest	otu	shannon	1	0.07
rainforest	otu	shannon	2	1
rainforest	otu	shannon	3	1
rainforest	otu	shannon	4	1
rainforest	otu	shannon	5	1
rainforest	otu	shannon	6	1
rainforest	otu	shannon	7	1
rainforest	otu	shannon	8	1
rainforest	otu	shannon	9	1
rainforest	otu	shannon	10	1
rainforest	otu	shannon	11	1
rainforest	otu	sobs	1	0.05
rainforest	otu	sobs	2	1
rainforest	otu	sobs	3	1
rainforest	otu	sobs	4	1
rainforest	otu	sobs	5	1
rainforest	otu	sobs	6	1
rainforest	otu	sobs	7	1
rainforest	otu	sobs	8	1
rainforest	otu	sobs	9	1
rainforest	otu	sobs	10	1
rainforest	otu	sobs	11	1
rainforest	pc	invsimpson	1	0.06
rainforest	pc	invsimpson	2	1
rainforest	pc	invsimpson	3	1
rainforest	pc	invsimpson	4	1
rainforest	pc	invsimpson	5	1
rainforest	pc	invsimpson	6	1
rainforest	pc	invsimpson	7	1
rainforest	pc	invsimpson	8	1
rainforest	pc	invsimpson	9	1
rainforest	pc	invsimpson	10	1
rainforest	pc	invsimpson	11	1
rainforest	pc	shannon	1	0.07
rainforest	pc	shannon	2	1
rainforest	pc	shannon	3	1
rainforest	pc	shannon	4	1
rainforest	pc	shannon	5	1
rainforest	pc	shannon	6	1
rainforest	pc	shannon	7	1
rainforest	pc	shannon	8	1
rainforest	pc	shannon	9	1
rainforest	pc	shannon	10	1
rainforest	pc	shannon	11	1
rainforest	pc	sobs	1	0.06
rainforest	pc	sobs	2	1
rainforest	pc	sobs	3	1
rainforest	pc	sobs	4	1
rainforest	pc	sobs	5	1
rainforest	pc	sobs	6	1
rainforest	pc	sobs	7	1
rainforest	pc	sobs	8	1
rainforest	pc	sobs	9	1
rainforest	pc	sobs	10	1
rainforest	pc	sobs	11	1
rice	otu	invsimpson	1	0.08
rice	otu	invsimpson	2	1
rice	otu	invsimpson	3	1
rice	otu	invsimpson	4	1
rice	otu	invsimpson	5	1
rice	otu	invsimpson	6	1
rice	otu	invsimpson	7	1
rice	otu	invsimpson	8	1
rice	otu	invsimpson	9	1
rice	otu	invsimpson	10	1
rice	otu	invsimpson	11	1
rice	otu	shannon	1	0.11
rice	otu	shannon	2	1
rice	otu	shannon	3	1
rice	otu	shannon	4	1
rice	otu	shannon	5	1
rice	otu	shannon	6	1
rice	otu	shannon	7	1
rice	otu	shannon	8	1
rice	otu	shannon	9	1
rice	otu	shannon	10	1
rice	otu	shannon	11	1
rice	otu	sobs	1	0.14
rice	otu	sobs	2	1
rice	otu	sobs	3	1
rice	otu	sobs	4	1
rice	otu	sobs	5	1
rice	otu	sobs	6	1
rice	otu	sobs	7	1
rice	otu	sobs	8	1
rice	otu	sobs	9	1
rice	otu	sobs	10	1
rice	otu	sobs	11	1
rice	pc	invsimpson	1	0.08
rice	pc	invsimpson	2	1
rice	pc	invsimpson	3	1
rice	pc	invsimpson	4	1
rice	pc	invsimpson	5	1
rice	pc	invsimpson	6	1
rice	pc	invsimpson	7	1
rice	pc	invsimpson	8	1
rice	pc	invsimpson	9	1
rice	pc	invsimpson	10	1
rice	pc	invsimpson	11	1
rice	pc	shannon	1	0.1
rice	pc	shannon	2	1
rice	pc	shannon	3	1
rice	pc	shannon	4	1
rice	pc	shannon	5	1
rice	pc	shannon	6	1
rice	pc	shannon	7	1
rice	pc	shannon	8	1
rice	pc	shannon	9	1
rice	pc	shannon	10	1
rice	pc	shannon	11	1
rice	pc	sobs	1	0.13
rice	pc	sobs	2	1
rice	pc	sobs	3	1
rice	pc	sobs	4	1
rice	pc	sobs	5	1
rice	pc	sobs	6	1
rice	pc	sobs	7	1
rice	pc	sobs	8	1
rice	pc	sobs	9	1
rice	pc	sobs	10	1
rice	pc	sobs	11	1
seagrass	otu	invsimpson	1	0.02
seagrass	otu	invsimpson	2	1
seagrass	otu	invsimpson	3	1
seagrass	otu	invsimpson	4	1
seagrass	otu	invsimpson	5	1
seagrass	otu	invsimpson	6	1
seagrass	otu	invsimpson	7	1
seagrass	otu	invsimpson	8	1
seagrass	otu	invsimpson	9	1
seagrass	otu	invsimpson	10	1
seagrass	otu	invsimpson	11	1
seagrass	otu	shannon	1	0.07
seagrass	otu	shannon	2	1
seagrass	otu	shannon	3	1
seagrass	otu	shannon	4	1
seagrass	otu	shannon	5	1
seagrass	otu	shannon	6	1
seagrass	otu	shannon	7	1
seagrass	otu	shannon	8	1
seagrass	otu	shannon	9	1
seagrass	otu	shannon	10	1
seagrass	otu	shannon	11	1
seagrass	otu	sobs	1	0.06
seagrass	otu	sobs	2	1
seagrass	otu	sobs	3	1
seagrass	otu	sobs	4	1
seagrass	otu	sobs	5	1
seagrass	otu	sobs	6	1
seagrass	otu	sobs	7	1
seagrass	otu	sobs	8	1
seagrass	otu	sobs	9	1
seagrass	otu	sobs	10	1
seagrass	otu	sobs	11	1
seagrass	pc	invsimpson	1	0.04
seagrass	pc	invsimpson	2	1
seagrass	pc	invsimpson	3	1
seagrass	pc	invsimpson	4	1
seagrass	pc	invsimpson	5	1
seagrass	pc	invsimpson	6	1
seagrass	pc	invsimpson	7	1
seagrass	pc	invsimpson	8	1
seagrass	pc	invsimpson	9	1
seagrass	pc	invsimpson	10	1
seagrass	pc	invsimpson	11	1
seagrass	pc	shannon	1	0.03
seagrass	pc	shannon	2	1
seagrass	pc	shannon	3	1
seagrass	pc	shannon	4	1
seagrass	pc	shannon	5	1
seagrass	pc	shannon	6	1
seagrass	pc	shannon	7	1
seagrass	pc	shannon	8	1
seagrass	pc	shannon	9	1
seagrass	pc	shannon	10	1
seagrass	pc	shannon	11	1
seagrass	pc	sobs	1	0.06
seagrass	pc	sobs	2	1
seagrass	pc	sobs	3	1
seagrass	pc	sobs	4	1
seagrass	pc	sobs	5	1
seagrass	pc	sobs	6	1
seagrass	pc	sobs	7	1
seagrass	pc	sobs	8	1
seagrass	pc	sobs	9	1
seagrass	pc	sobs	10	1
seagrass	pc	sobs	11	1
sediment	otu	invsimpson	1	0.05
sediment	otu	invsimpson	2	1
sediment	otu	invsimpson	3	1
sediment	otu	invsimpson	4	1
sediment	otu	invsimpson	5	1
sediment	otu	invsimpson	6	1
sediment	otu	invsimpson	7	1
sediment	otu	invsimpson	8	1
sediment	otu	invsimpson	9	1
sediment	otu	invsimpson	10	1
sediment	otu	invsimpson	11	1
sediment	otu	shannon	1	0.05
sediment	otu	shannon	2	1
sediment	otu	shannon	3	1
sediment	otu	shannon	4	1
sediment	otu	shannon	5	1
sediment	otu	shannon	6	1
sediment	otu	shannon	7	1
sediment	otu	shannon	8	1
sediment	otu	shannon	9	1
sediment	otu	shannon	10	1
sediment	otu	shannon	11	1
sediment	otu	sobs	1	0.02
sediment	otu	sobs	2	1
sediment	otu	sobs	3	1
sediment	otu	sobs	4	1
sediment	otu	sobs	5	1
sediment	otu	sobs	6	1
sediment	otu	sobs	7	1
sediment	otu	sobs	8	1
sediment	otu	sobs	9	1
sediment	otu	sobs	10	1
sediment	otu	sobs	11	1
sediment	pc	invsimpson	1	0.05
sediment	pc	invsimpson	2	1
sediment	pc	invsimpson	3	1
sediment	pc	invsimpson	4	1
sediment	pc	invsimpson	5	1
sediment	pc	invsimpson	6	1
sediment	pc	invsimpson	7	1
sediment	pc	invsimpson	8	1
sediment	pc	invsimpson	9	1
sediment	pc	invsimpson	10	1
sediment	pc	invsimpson	11	1
sediment	pc	shannon	1	0.05
sediment	pc	shannon	2	1
sediment	pc	shannon	3	1
sediment	pc	shannon	4	1
sediment	pc	shannon	5	1
sediment	pc	shannon	6	1
sediment	pc	shannon	7	1
sediment	pc	shannon	8	1
sediment	pc	shannon	9	1
sediment	pc	shannon	10	1
sediment	pc	shannon	11	1
sediment	pc	sobs	1	0.04
sediment	pc	sobs	2	1
sediment	pc	sobs	3	1
sediment	pc	sobs	4	1
sediment	pc	sobs	5	1
sediment	pc	sobs	6	1
sediment	pc	sobs	7	1
sediment	pc	sobs	8	1
sediment	pc	sobs	9	1
sediment	pc	sobs	10	1
sediment	pc	sobs	11	1
soil	otu	invsimpson	1	0.03
soil	otu	invsimpson	2	0.27
soil	otu	invsimpson	3	0.46
soil	otu	invsimpson	4	0.58
soil	otu	invsimpson	5	0.65
soil	otu	invsimpson	6	0.73
soil	otu	invsimpson	7	0.78
soil	otu	invsimpson	8	0.81
soil	otu	invsimpson	9	0.84
soil	otu	invsimpson	10	0.81
soil	otu	invsimpson	11	0.83
soil	otu	shannon	1	0.04
soil	otu	shannon	2	0.93
soil	otu	shannon	3	0.98
soil	otu	shannon	4	0.99
soil	otu	shannon	5	1
soil	otu	shannon	6	1
soil	otu	shannon	7	1
soil	otu	shannon	8	1
soil	otu	shannon	9	1
soil	otu	shannon	10	1
soil	otu	shannon	11	1
soil	otu	sobs	1	0.01
soil	otu	sobs	2	1
soil	otu	sobs	3	1
soil	otu	sobs	4	1
soil	otu	sobs	5	1
soil	otu	sobs	6	1
soil	otu	sobs	7	1
soil	otu	sobs	8	1
soil	otu	sobs	9	1
soil	otu	sobs	10	1
soil	otu	sobs	11	1
soil	pc	invsimpson	1	0.05
soil	pc	invsimpson	2	0.37
soil	pc	invsimpson	3	0.58
soil	pc	invsimpson	4	0.75
soil	pc	invsimpson	5	0.82
soil	pc	invsimpson	6	0.88
soil	pc	invsimpson	7	0.91
soil	pc	invsimpson	8	0.92
soil	pc	invsimpson	9	0.92
soil	pc	invsimpson	10	0.95
soil	pc	invsimpson	11	0.94
soil	pc	shannon	1	0.02
soil	pc	shannon	2	1
soil	pc	shannon	3	1
soil	pc	shannon	4	1
soil	pc	shannon	5	1
soil	pc	shannon	6	1
soil	pc	shannon	7	1
soil	pc	shannon	8	1
soil	pc	shannon	9	1
soil	pc	shannon	10	1
soil	pc	shannon	11	1
soil	pc	sobs	1	0.02
soil	pc	sobs	2	1
soil	pc	sobs	3	1
soil	pc	sobs	4	1
soil	pc	sobs	5	1
soil	pc	sobs	6	1
soil	pc	sobs	7	1
soil	pc	sobs	8	1
soil	pc	sobs	9	1
soil	pc	sobs	10	1
soil	pc	sobs	11	1
stream	otu	invsimpson	1	0.07
stream	otu	invsimpson	2	1
stream	otu	invsimpson	3	1
stream	otu	invsimpson	4	1
stream	otu	invsimpson	5	1
stream	otu	invsimpson	6	1
stream	otu	invsimpson	7	1
stream	otu	invsimpson	8	1
stream	otu	invsimpson	9	1
stream	otu	invsimpson	10	1
stream	otu	invsimpson	11	1
stream	otu	shannon	1	0.07
stream	otu	shannon	2	1
stream	otu	shannon	3	1
stream	otu	shannon	4	1
stream	otu	shannon	5	1
stream	otu	shannon	6	1
stream	otu	shannon	7	1
stream	otu	shannon	8	1
stream	otu	shannon	9	1
stream	otu	shannon	10	1
stream	otu	shannon	11	1
stream	otu	sobs	1	0.09
stream	otu	sobs	2	1
stream	otu	sobs	3	1
stream	otu	sobs	4	1
stream	otu	sobs	5	1
stream	otu	sobs	6	1
stream	otu	sobs	7	1
stream	otu	sobs	8	1
stream	otu	sobs	9	1
stream	otu	sobs	10	1
stream	otu	sobs	11	1
stream	pc	invsimpson	1	0.03
stream	pc	invsimpson	2	1
stream	pc	invsimpson	3	1
stream	pc	invsimpson	4	1
stream	pc	invsimpson	5	1
stream	pc	invsimpson	6	1
stream	pc	invsimpson	7	1
stream	pc	invsimpson	8	1
stream	pc	invsimpson	9	1
stream	pc	invsimpson	10	1
stream	pc	invsimpson	11	1
stream	pc	shannon	1	0.05
stream	pc	shannon	2	1
stream	pc	shannon	3	1
stream	pc	shannon	4	1
stream	pc	shannon	5	1
stream	pc	shannon	6	1
stream	pc	shannon	7	1
stream	pc	shannon	8	1
stream	pc	shannon	9	1
stream	pc	shannon	10	1
stream	pc	shannon	11	1
stream	pc	sobs	1	0.07
stream	pc	sobs	2	1
stream	pc	sobs	3	1
stream	pc	sobs	4	1
stream	pc	sobs	5	1
stream	pc	sobs	6	1
stream	pc	sobs	7	1
stream	pc	sobs	8	1
stream	pc	sobs	9	1
stream	pc	sobs	10	1
stream	pc	sobs	11	1
