dataset	clustering	prune	frac_sig
rice	otu	3	1
rice	otu	4	1
rice	otu	5	1
rice	otu	6	1
rice	otu	7	1
rice	otu	8	1
rice	otu	9	1
rice	otu	10	1
rice	otu	11	1
rice	pc	1	0.03
rice	pc	2	1
rice	pc	3	1
rice	pc	4	1
rice	pc	5	1
rice	pc	6	1
rice	pc	7	1
rice	pc	8	1
rice	pc	9	1
rice	pc	10	1
rice	pc	11	1
seagrass	otu	1	0.04
seagrass	otu	2	1
seagrass	otu	3	1
seagrass	otu	4	1
seagrass	otu	5	1
seagrass	otu	6	1
seagrass	otu	7	1
seagrass	otu	8	1
seagrass	otu	9	1
seagrass	otu	10	1
seagrass	otu	11	1
seagrass	pc	1	0.04
seagrass	pc	2	1
seagrass	pc	3	1
seagrass	pc	4	1
seagrass	pc	5	1
seagrass	pc	6	1
seagrass	pc	7	1
seagrass	pc	8	1
seagrass	pc	9	1
seagrass	pc	10	1
seagrass	pc	11	1
sediment	otu	1	0.06
sediment	otu	2	1
sediment	otu	3	1
sediment	otu	4	1
sediment	otu	5	1
sediment	otu	6	1
sediment	otu	7	1
sediment	otu	8	1
sediment	otu	9	1
sediment	otu	10	1
sediment	otu	11	1
sediment	pc	1	0.08
sediment	pc	2	1
sediment	pc	3	1
sediment	pc	4	1
sediment	pc	5	1
sediment	pc	6	1
sediment	pc	7	1
sediment	pc	8	1
sediment	pc	9	1
sediment	pc	10	1
sediment	pc	11	1
soil	otu	1	0.07
soil	otu	2	0.17
soil	otu	3	0.38
soil	otu	4	0.54
soil	otu	5	0.74
soil	otu	6	0.86
soil	otu	7	0.91
soil	otu	8	0.92
soil	otu	9	0.96
soil	otu	10	0.94
soil	otu	11	0.96
soil	pc	1	0.06
soil	pc	2	0.17
soil	pc	3	0.43
soil	pc	4	0.66
soil	pc	5	0.86
soil	pc	6	0.94
soil	pc	7	0.97
soil	pc	8	0.96
soil	pc	9	0.97
soil	pc	10	0.96
soil	pc	11	0.98
stream	otu	1	0.01
stream	otu	2	1
stream	otu	3	1
stream	otu	4	1
stream	otu	5	1
stream	otu	6	1
stream	otu	7	1
stream	otu	8	1
stream	otu	9	1
stream	otu	10	1
stream	otu	11	1
stream	pc	1	0.02
stream	pc	2	1
stream	pc	3	1
stream	pc	4	1
stream	pc	5	1
stream	pc	6	1
stream	pc	7	1
stream	pc	8	1
stream	pc	9	1
stream	pc	10	1
stream	pc	11	1
