dataset	clustering	prune	frac_sig
bioethanol	otu	1	0.6
bioethanol	otu	2	0.61
bioethanol	otu	3	0.6
bioethanol	otu	4	0.59
bioethanol	otu	5	0.57
bioethanol	otu	6	0.55
bioethanol	otu	7	0.54
bioethanol	otu	8	0.53
bioethanol	otu	9	0.53
bioethanol	otu	10	0.52
bioethanol	otu	11	0.52
bioethanol	pc	1	0.59
bioethanol	pc	2	0.59
bioethanol	pc	3	0.6
bioethanol	pc	4	0.58
bioethanol	pc	5	0.54
bioethanol	pc	6	0.54
bioethanol	pc	7	0.52
bioethanol	pc	8	0.52
bioethanol	pc	9	0.5
bioethanol	pc	10	0.5
bioethanol	pc	11	0.5
human	otu	1	1
human	otu	2	1
human	otu	3	1
human	otu	4	1
human	otu	5	1
human	otu	6	0.98
human	otu	7	0.97
human	otu	8	0.96
human	otu	9	0.95
human	otu	10	0.89
human	otu	11	0.83
human	pc	1	1
human	pc	2	1
human	pc	3	1
human	pc	4	1
human	pc	5	1
human	pc	6	0.98
human	pc	7	0.97
human	pc	8	0.97
human	pc	9	0.95
human	pc	10	0.93
human	pc	11	0.88
lake	otu	1	0.88
lake	otu	2	0.71
lake	otu	3	0.51
lake	otu	4	0.32
lake	otu	5	0.21
lake	otu	6	0.15
lake	otu	7	0.13
lake	otu	8	0.11
lake	otu	9	0.1
lake	otu	10	0.11
lake	otu	11	0.09
lake	pc	1	0.92
lake	pc	2	0.73
lake	pc	3	0.49
lake	pc	4	0.32
lake	pc	5	0.18
lake	pc	6	0.16
lake	pc	7	0.11
lake	pc	8	0.11
lake	pc	9	0.09
lake	pc	10	0.1
lake	pc	11	0.09
marine	otu	1	0.52
marine	otu	2	0.49
marine	otu	3	0.48
marine	otu	4	0.47
marine	otu	5	0.39
marine	otu	6	0.35
marine	otu	7	0.34
marine	otu	8	0.32
marine	otu	9	0.28
marine	otu	10	0.26
marine	otu	11	0.26
marine	pc	1	0.61
marine	pc	2	0.49
marine	pc	3	0.53
marine	pc	4	0.48
marine	pc	5	0.38
marine	pc	6	0.38
marine	pc	7	0.32
marine	pc	8	0.34
marine	pc	9	0.29
marine	pc	10	0.31
marine	pc	11	0.27
mice	otu	1	0.87
mice	otu	2	0.87
mice	otu	3	0.87
mice	otu	4	0.81
mice	otu	5	0.77
mice	otu	6	0.74
mice	otu	7	0.69
mice	otu	8	0.6
mice	otu	9	0.58
mice	otu	10	0.46
mice	otu	11	0.39
mice	pc	1	0.86
mice	pc	2	0.87
mice	pc	3	0.88
mice	pc	4	0.79
mice	pc	5	0.76
mice	pc	6	0.73
mice	pc	7	0.67
mice	pc	8	0.62
mice	pc	9	0.57
mice	pc	10	0.47
mice	pc	11	0.41
peromyscus	otu	1	0.65
peromyscus	otu	2	0.46
peromyscus	otu	3	0.21
peromyscus	otu	4	0.14
peromyscus	otu	5	0.04
peromyscus	otu	6	0.04
peromyscus	otu	7	0.03
peromyscus	otu	8	0.03
peromyscus	otu	9	0.03
peromyscus	otu	10	0.03
peromyscus	otu	11	0.02
peromyscus	pc	1	0.72
peromyscus	pc	2	0.47
peromyscus	pc	3	0.21
peromyscus	pc	4	0.12
peromyscus	pc	5	0.05
peromyscus	pc	6	0.03
peromyscus	pc	7	0.03
peromyscus	pc	8	0.03
peromyscus	pc	9	0.03
peromyscus	pc	10	0.02
peromyscus	pc	11	0.02
rainforest	otu	1	0.29
rainforest	otu	2	0.15
rainforest	otu	3	0.13
rainforest	otu	4	0.09
rainforest	otu	5	0.09
rainforest	otu	6	0.08
rainforest	otu	7	0.09
rainforest	otu	8	0.08
rainforest	otu	9	0.06
rainforest	otu	10	0.06
rainforest	otu	11	0.06
rainforest	pc	1	0.41
rainforest	pc	2	0.19
rainforest	pc	3	0.1
rainforest	pc	4	0.09
rainforest	pc	5	0.1
rainforest	pc	6	0.09
rainforest	pc	7	0.09
rainforest	pc	8	0.09
rainforest	pc	9	0.06
rainforest	pc	10	0.07
rainforest	pc	11	0.07
rice	otu	1	0.97
rice	otu	2	0.13
rice	otu	3	0.05
rice	otu	4	0.03
rice	otu	5	0.03
rice	otu	6	0.03
rice	otu	7	0.02
rice	otu	8	0.02
rice	otu	9	0.03
rice	otu	10	0.02
rice	otu	11	0.02
rice	pc	1	1
rice	pc	2	0.36
rice	pc	3	0.11
rice	pc	4	0.04
rice	pc	5	0.03
rice	pc	6	0.03
rice	pc	7	0.03
rice	pc	8	0.02
rice	pc	9	0.03
rice	pc	10	0.03
rice	pc	11	0.03
seagrass	otu	1	0.73
seagrass	otu	2	0.31
seagrass	otu	3	0.09
seagrass	otu	4	0.07
seagrass	otu	5	0.08
seagrass	otu	6	0.07
seagrass	otu	7	0.06
seagrass	otu	8	0.06
seagrass	otu	9	0.06
seagrass	otu	10	0.06
seagrass	otu	11	0.06
seagrass	pc	1	0.85
seagrass	pc	2	0.36
seagrass	pc	3	0.08
seagrass	pc	4	0.07
seagrass	pc	5	0.06
seagrass	pc	6	0.06
seagrass	pc	7	0.06
seagrass	pc	8	0.06
seagrass	pc	9	0.06
seagrass	pc	10	0.06
seagrass	pc	11	0.06
sediment	otu	1	0.42
sediment	otu	2	0.15
sediment	otu	3	0.08
sediment	otu	4	0.06
sediment	otu	5	0.06
sediment	otu	6	0.07
sediment	otu	7	0.07
sediment	otu	8	0.07
sediment	otu	9	0.07
sediment	otu	10	0.07
sediment	otu	11	0.06
sediment	pc	1	0.6
sediment	pc	2	0.24
sediment	pc	3	0.12
sediment	pc	4	0.08
sediment	pc	5	0.09
sediment	pc	6	0.08
sediment	pc	7	0.08
sediment	pc	8	0.07
sediment	pc	9	0.07
sediment	pc	10	0.07
sediment	pc	11	0.06
soil	otu	1	0.33
soil	otu	2	0.33
soil	otu	3	0.27
soil	otu	4	0.29
soil	otu	5	0.26
soil	otu	6	0.24
soil	otu	7	0.23
soil	otu	8	0.22
soil	otu	9	0.23
soil	otu	10	0.25
soil	otu	11	0.23
soil	pc	1	0.46
soil	pc	2	0.43
soil	pc	3	0.41
soil	pc	4	0.39
soil	pc	5	0.33
soil	pc	6	0.37
soil	pc	7	0.3
soil	pc	8	0.27
soil	pc	9	0.31
soil	pc	10	0.32
soil	pc	11	0.31
stream	otu	1	1
stream	otu	2	0.53
stream	otu	3	0.42
stream	otu	4	0.33
stream	otu	5	0.29
stream	otu	6	0.25
stream	otu	7	0.21
stream	otu	8	0.19
stream	otu	9	0.16
stream	otu	10	0.12
stream	otu	11	0.11
stream	pc	1	1
stream	pc	2	0.76
stream	pc	3	0.62
stream	pc	4	0.51
stream	pc	5	0.43
stream	pc	6	0.35
stream	pc	7	0.31
stream	pc	8	0.3
stream	pc	9	0.26
stream	pc	10	0.21
stream	pc	11	0.2
