dataset	clustering	prune	frac_sig
bioethanol	otu	1	0.36
bioethanol	otu	2	0.34
bioethanol	otu	3	0.28
bioethanol	otu	4	0.27
bioethanol	otu	5	0.25
bioethanol	otu	6	0.23
bioethanol	otu	7	0.24
bioethanol	otu	8	0.22
bioethanol	otu	9	0.23
bioethanol	otu	10	0.22
bioethanol	otu	11	0.24
bioethanol	pc	1	0.44
bioethanol	pc	2	0.39
bioethanol	pc	3	0.32
bioethanol	pc	4	0.29
bioethanol	pc	5	0.29
bioethanol	pc	6	0.28
bioethanol	pc	7	0.27
bioethanol	pc	8	0.25
bioethanol	pc	9	0.24
bioethanol	pc	10	0.24
bioethanol	pc	11	0.24
human	otu	1	1
human	otu	2	1
human	otu	3	1
human	otu	4	1
human	otu	5	0.99
human	otu	6	0.97
human	otu	7	0.97
human	otu	8	0.97
human	otu	9	0.96
human	otu	10	0.96
human	otu	11	0.96
human	pc	1	1
human	pc	2	1
human	pc	3	1
human	pc	4	1
human	pc	5	0.99
human	pc	6	0.99
human	pc	7	0.99
human	pc	8	0.97
human	pc	9	0.97
human	pc	10	0.97
human	pc	11	0.96
lake	otu	1	1
lake	otu	2	0.99
lake	otu	3	0.94
lake	otu	4	0.92
lake	otu	5	0.87
lake	otu	6	0.81
lake	otu	7	0.78
lake	otu	8	0.76
lake	otu	9	0.69
lake	otu	10	0.68
lake	otu	11	0.65
lake	pc	1	1
lake	pc	2	0.99
lake	pc	3	0.97
lake	pc	4	0.92
lake	pc	5	0.88
lake	pc	6	0.81
lake	pc	7	0.8
lake	pc	8	0.77
lake	pc	9	0.7
lake	pc	10	0.7
lake	pc	11	0.68
marine	otu	1	0.85
marine	otu	2	0.82
marine	otu	3	0.81
marine	otu	4	0.8
marine	otu	5	0.77
marine	otu	6	0.74
marine	otu	7	0.71
marine	otu	8	0.64
marine	otu	9	0.64
marine	otu	10	0.63
marine	otu	11	0.63
marine	pc	1	0.89
marine	pc	2	0.85
marine	pc	3	0.86
marine	pc	4	0.83
marine	pc	5	0.77
marine	pc	6	0.73
marine	pc	7	0.69
marine	pc	8	0.66
marine	pc	9	0.65
marine	pc	10	0.63
marine	pc	11	0.63
mice	otu	1	0.86
mice	otu	2	0.83
mice	otu	3	0.77
mice	otu	4	0.73
mice	otu	5	0.7
mice	otu	6	0.65
mice	otu	7	0.61
mice	otu	8	0.52
mice	otu	9	0.5
mice	otu	10	0.48
mice	otu	11	0.46
mice	pc	1	0.88
mice	pc	2	0.83
mice	pc	3	0.78
mice	pc	4	0.74
mice	pc	5	0.7
mice	pc	6	0.66
mice	pc	7	0.61
mice	pc	8	0.58
mice	pc	9	0.56
mice	pc	10	0.5
mice	pc	11	0.47
peromyscus	otu	1	0.99
peromyscus	otu	2	0.99
peromyscus	otu	3	0.94
peromyscus	otu	4	0.88
peromyscus	otu	5	0.82
peromyscus	otu	6	0.79
peromyscus	otu	7	0.73
peromyscus	otu	8	0.7
peromyscus	otu	9	0.63
peromyscus	otu	10	0.59
peromyscus	otu	11	0.57
peromyscus	pc	1	0.99
peromyscus	pc	2	0.98
peromyscus	pc	3	0.98
peromyscus	pc	4	0.9
peromyscus	pc	5	0.82
peromyscus	pc	6	0.82
peromyscus	pc	7	0.77
peromyscus	pc	8	0.73
peromyscus	pc	9	0.66
peromyscus	pc	10	0.62
peromyscus	pc	11	0.55
rainforest	otu	1	0.99
rainforest	otu	2	0.98
rainforest	otu	3	0.88
rainforest	otu	4	0.81
rainforest	otu	5	0.73
rainforest	otu	6	0.66
rainforest	otu	7	0.63
rainforest	otu	8	0.59
rainforest	otu	9	0.56
rainforest	otu	10	0.53
rainforest	otu	11	0.53
rainforest	pc	1	1
rainforest	pc	2	0.99
rainforest	pc	3	0.96
rainforest	pc	4	0.9
rainforest	pc	5	0.81
rainforest	pc	6	0.66
rainforest	pc	7	0.62
rainforest	pc	8	0.57
rainforest	pc	9	0.55
rainforest	pc	10	0.55
rainforest	pc	11	0.49
rice	otu	1	1
rice	otu	2	1
rice	otu	3	1
rice	otu	4	1
rice	otu	5	0.98
rice	otu	6	0.94
rice	otu	7	0.92
rice	otu	8	0.89
rice	otu	9	0.88
rice	otu	10	0.83
rice	otu	11	0.79
rice	pc	1	1
rice	pc	2	1
rice	pc	3	1
rice	pc	4	1
rice	pc	5	1
rice	pc	6	0.99
rice	pc	7	0.98
rice	pc	8	0.97
rice	pc	9	0.95
rice	pc	10	0.92
rice	pc	11	0.89
seagrass	otu	1	1
seagrass	otu	2	0.98
seagrass	otu	3	0.91
seagrass	otu	4	0.82
