dataset	clustering	prune	frac_sig
seagrass	otu	5	0.73
seagrass	otu	6	0.67
seagrass	otu	7	0.58
seagrass	otu	8	0.52
seagrass	otu	9	0.49
seagrass	otu	10	0.49
seagrass	otu	11	0.48
seagrass	pc	1	1
seagrass	pc	2	0.98
seagrass	pc	3	0.96
seagrass	pc	4	0.91
seagrass	pc	5	0.78
seagrass	pc	6	0.75
seagrass	pc	7	0.65
seagrass	pc	8	0.6
seagrass	pc	9	0.57
seagrass	pc	10	0.53
seagrass	pc	11	0.51
sediment	otu	1	1
sediment	otu	2	0.85
sediment	otu	3	0.63
sediment	otu	4	0.57
sediment	otu	5	0.49
sediment	otu	6	0.47
sediment	otu	7	0.45
sediment	otu	8	0.42
sediment	otu	9	0.4
sediment	otu	10	0.4
sediment	otu	11	0.39
sediment	pc	1	1
sediment	pc	2	0.96
sediment	pc	3	0.78
sediment	pc	4	0.67
sediment	pc	5	0.56
sediment	pc	6	0.5
sediment	pc	7	0.49
sediment	pc	8	0.48
sediment	pc	9	0.46
sediment	pc	10	0.45
sediment	pc	11	0.44
soil	otu	1	0.95
soil	otu	2	0.95
soil	otu	3	0.92
soil	otu	4	0.91
soil	otu	5	0.89
soil	otu	6	0.87
soil	otu	7	0.88
soil	otu	8	0.88
soil	otu	9	0.87
soil	otu	10	0.83
soil	otu	11	0.83
soil	pc	1	1
soil	pc	2	0.99
soil	pc	3	0.97
soil	pc	4	0.96
soil	pc	5	0.93
soil	pc	6	0.9
soil	pc	7	0.9
soil	pc	8	0.88
soil	pc	9	0.89
soil	pc	10	0.87
soil	pc	11	0.86
stream	otu	1	1
stream	otu	2	1
stream	otu	3	0.99
stream	otu	4	0.92
stream	otu	5	0.9
stream	otu	6	0.87
stream	otu	7	0.84
stream	otu	8	0.8
stream	otu	9	0.78
stream	otu	10	0.75
stream	otu	11	0.73
stream	pc	1	1
stream	pc	2	1
stream	pc	3	1
stream	pc	4	1
stream	pc	5	0.99
stream	pc	6	0.94
stream	pc	7	0.92
stream	pc	8	0.91
stream	pc	9	0.89
stream	pc	10	0.88
stream	pc	11	0.85
