dataset	sample	n	shannon	freq_removed	fraction_lost
bioethanol	A21_18	59658	0.5693161941822046	10	0.0051962854939823664
bioethanol	A21_39	10523	2.251947350016593	1	0.004656466787037917
bioethanol	A21_39	10523	2.251947350016593	2	0.007127245082200894
bioethanol	A21_39	10523	2.251947350016593	3	0.008552694098641072
bioethanol	A21_39	10523	2.251947350016593	4	0.009502993442934524
bioethanol	A21_39	10523	2.251947350016593	5	0.010833412524945359
bioethanol	A21_39	10523	2.251947350016593	6	0.011688681934809465
bioethanol	A21_39	10523	2.251947350016593	7	0.012638981279102917
bioethanol	A21_39	10523	2.251947350016593	8	0.013304190820108334
bioethanol	A21_39	10523	2.251947350016593	9	0.013969400361113752
bioethanol	A21_39	10523	2.251947350016593	10	0.01415946022997244
bioethanol	A21_DR	9497	2.237880584295444	1	0.004106559966305149
bioethanol	A21_DR	9497	2.237880584295444	2	0.006317784563546383
bioethanol	A21_DR	9497	2.237880584295444	3	0.008107823523217858
bioethanol	A21_DR	9497	2.237880584295444	4	0.009476676845319575
bioethanol	A21_DR	9497	2.237880584295444	5	0.010634937348636412
bioethanol	A21_DR	9497	2.237880584295444	6	0.011687901442560808
bioethanol	A21_DR	9497	2.237880584295444	7	0.012319679898915447
bioethanol	A21_DR	9497	2.237880584295444	8	0.013056754764662525
bioethanol	A21_DR	9497	2.237880584295444	9	0.013793829630409603
bioethanol	A21_DR	9497	2.237880584295444	10	0.01463620090554912
bioethanol	A21_PS	3950	3.4814976014344863	1	0.02911392405063291
bioethanol	A21_PS	3950	3.4814976014344863	2	0.04278481012658228
bioethanol	A21_PS	3950	3.4814976014344863	3	0.05139240506329114
bioethanol	A21_PS	3950	3.4814976014344863	4	0.05518987341772152
bioethanol	A21_PS	3950	3.4814976014344863	5	0.05822784810126582
bioethanol	A21_PS	3950	3.4814976014344863	6	0.060759493670886074
bioethanol	A21_PS	3950	3.4814976014344863	7	0.06253164556962025
bioethanol	A21_PS	3950	3.4814976014344863	8	0.06354430379746835
bioethanol	A21_PS	3950	3.4814976014344863	9	0.06379746835443038
bioethanol	A21_PS	3950	3.4814976014344863	10	0.0650632911392405
bioethanol	A22_10	29781	1.231132701729343	1	0.0036600517108223364
bioethanol	A22_10	29781	1.231132701729343	2	0.005406131426077029
bioethanol	A22_10	29781	1.231132701729343	3	0.006614955844330278
bioethanol	A22_10	29781	1.231132701729343	4	0.007085054229206541
bioethanol	A22_10	29781	1.231132701729343	5	0.0075551526140828044
bioethanol	A22_10	29781	1.231132701729343	6	0.007857358718646117
bioethanol	A22_10	29781	1.231132701729343	7	0.008025250998959068
bioethanol	A22_10	29781	1.231132701729343	8	0.00849534938383533
bioethanol	A22_10	29781	1.231132701729343	9	0.008663241664148282
bioethanol	A22_10	29781	1.231132701729343	10	0.008864712400523824
bioethanol	A22_18	40249	0.7237912642264466	1	0.002732987154960372
bioethanol	A22_18	40249	0.7237912642264466	2	0.004024944719123457
bioethanol	A22_18	40249	0.7237912642264466	3	0.004521851474570797
bioethanol	A22_18	40249	0.7237912642264466	4	0.005093294243335238
bioethanol	A22_18	40249	0.7237912642264466	5	0.005316902283286541
bioethanol	A22_18	40249	0.7237912642264466	6	0.005540510323237845
bioethanol	A22_18	40249	0.7237912642264466	7	0.005689582349872047
bioethanol	A22_18	40249	0.7237912642264466	8	0.005813809038733881
bioethanol	A22_18	40249	0.7237912642264466	9	0.006012571740912818
bioethanol	A22_18	40249	0.7237912642264466	10	0.006136798429774653
bioethanol	A22_39	11294	1.5973422437488047	1	0.0066406941738976445
bioethanol	A22_39	11294	1.5973422437488047	2	0.0091198866654861
bioethanol	A22_39	11294	1.5973422437488047	3	0.010979281034177439
bioethanol	A22_39	11294	1.5973422437488047	4	0.012661590224898177
bioethanol	A22_39	11294	1.5973422437488047	5	0.013281388347795289
bioethanol	A22_39	11294	1.5973422437488047	6	0.01425535682663361
bioethanol	A22_39	11294	1.5973422437488047	7	0.014875154949530725
bioethanol	A22_39	11294	1.5973422437488047	8	0.015229325305471933
bioethanol	A22_39	11294	1.5973422437488047	9	0.015760580839383743
bioethanol	A22_39	11294	1.5973422437488047	10	0.015849123428369045
bioethanol	A22_DR	16112	1.7220347352033925	1	0.004406653426017875
bioethanol	A22_DR	16112	1.7220347352033925	2	0.00589622641509434
bioethanol	A22_DR	16112	1.7220347352033925	3	0.0067030784508440916
bioethanol	A22_DR	16112	1.7220347352033925	4	0.007571996027805362
bioethanol	A22_DR	16112	1.7220347352033925	5	0.008316782522343595
bioethanol	A22_DR	16112	1.7220347352033925	6	0.009123634558093346
bioethanol	A22_DR	16112	1.7220347352033925	7	0.009682224428997022
bioethanol	A22_DR	16112	1.7220347352033925	8	0.009992552135054617
bioethanol	A22_DR	16112	1.7220347352033925	9	0.010489076464746772
bioethanol	A22_DR	16112	1.7220347352033925	10	0.01079940417080437
bioethanol	A22_PS	15483	2.955234517607731	1	0.009171349221727056
bioethanol	A22_PS	15483	2.955234517607731	2	0.011754827875734676
bioethanol	A22_PS	15483	2.955234517607731	3	0.013498675967189821
bioethanol	A22_PS	15483	2.955234517607731	4	0.015048763159594395
bioethanol	A22_PS	15483	2.955234517607731	5	0.016857198217399727
bioethanol	A22_PS	15483	2.955234517607731	6	0.017438480914551444
bioethanol	A22_PS	15483	2.955234517607731	7	0.018019763611703158
bioethanol	A22_PS	15483	2.955234517607731	8	0.01918232900600659
bioethanol	A22_PS	15483	2.955234517607731	9	0.01956985080410773
bioethanol	A22_PS	15483	2.955234517607731	10	0.019957372602208874
bioethanol	A31_10	16232	1.385267335666393	1	0.005113356333169049
bioethanol	A31_10	16232	1.385267335666393	2	0.008008871365204534
bioethanol	A31_10	16232	1.385267335666393	3	0.009672252341054706
bioethanol	A31_10	16232	1.385267335666393	4	0.010657959586002958
bioethanol	A31_10	16232	1.385267335666393	5	0.011150813208477082
bioethanol	A31_10	16232	1.385267335666393	6	0.011828486939379004
bioethanol	A31_10	16232	1.385267335666393	7	0.012382947264662394
bioethanol	A31_10	16232	1.385267335666393	8	0.012567767373090193
bioethanol	A31_10	16232	1.385267335666393	9	0.01275258748151799
bioethanol	A31_10	16232	1.385267335666393	10	0.01275258748151799
bioethanol	A31_18	56012	1.3282116807654119	1	0.0020531314718274657
bioethanol	A31_18	56012	1.3282116807654119	2	0.002535171034778262
bioethanol	A31_18	56012	1.3282116807654119	3	0.002999357280582732
bioethanol	A31_18	56012	1.3282116807654119	4	0.003213597086338642
bioethanol	A31_18	56012	1.3282116807654119	5	0.003356423623509248
bioethanol	A31_18	56012	1.3282116807654119	6	0.003534956794972506
bioethanol	A31_18	56012	1.3282116807654119	7	0.003677783332143112
bioethanol	A31_18	56012	1.3282116807654119	8	0.003713489966435764
bioethanol	A31_18	56012	1.3282116807654119	9	0.003784903235021067
bioethanol	A31_18	56012	1.3282116807654119	10	0.00385631650360637
bioethanol	A31_39	13955	1.7415429611105393	1	0.004371193120745253
bioethanol	A31_39	13955	1.7415429611105393	2	0.005374417771408097
bioethanol	A31_39	13955	1.7415429611105393	3	0.005661053385883196
bioethanol	A31_39	13955	1.7415429611105393	4	0.0065926191329272665
bioethanol	A31_39	13955	1.7415429611105393	5	0.007094231458258688
bioethanol	A31_39	13955	1.7415429611105393	6	0.007739161590827661
bioethanol	A31_39	13955	1.7415429611105393	7	0.008384091723396632
bioethanol	A31_39	13955	1.7415429611105393	8	0.008742386241490506
bioethanol	A31_39	13955	1.7415429611105393	9	0.009029021855965604
bioethanol	A31_39	13955	1.7415429611105393	10	0.009458975277678252
bioethanol	A31_DR	10329	2.0735358225199527	1	0.003872591732016652
bioethanol	A31_DR	10329	2.0735358225199527	2	0.004937554458321232
bioethanol	A31_DR	10329	2.0735358225199527	3	0.006292961564527059
bioethanol	A31_DR	10329	2.0735358225199527	4	0.007261109497531223
bioethanol	A31_DR	10329	2.0735358225199527	5	0.00813244263723497
bioethanol	A31_DR	10329	2.0735358225199527	6	0.008810146190337884
bioethanol	A31_DR	10329	2.0735358225199527	7	0.009584664536741214
bioethanol	A31_DR	10329	2.0735358225199527	8	0.009778294123342047
bioethanol	A31_DR	10329	2.0735358225199527	9	0.010359182883144545
bioethanol	A31_DR	10329	2.0735358225199527	10	0.010552812469745376
bioethanol	A31_PS	5434	2.8416287242011546	1	0.010857563489142437
bioethanol	A31_PS	5434	2.8416287242011546	2	0.013986013986013986
bioethanol	A31_PS	5434	2.8416287242011546	3	0.017482517482517484
bioethanol	A31_PS	5434	2.8416287242011546	4	0.01950680898049319
bioethanol	A31_PS	5434	2.8416287242011546	5	0.02042694147957306
bioethanol	A31_PS	5434	2.8416287242011546	6	0.021899153478100848
bioethanol	A31_PS	5434	2.8416287242011546	7	0.023923444976076555
bioethanol	A31_PS	5434	2.8416287242011546	8	0.024843577475156423
bioethanol	A31_PS	5434	2.8416287242011546	9	0.025395656974604344
bioethanol	A31_PS	5434	2.8416287242011546	10	0.02576370997423629
bioethanol	A32_10	215758	0.9194744914535231	1	0.0010428350281333717
bioethanol	A32_10	215758	0.9194744914535231	2	0.00121895827732923
bioethanol	A32_10	215758	0.9194744914535231	3	0.0013116547242744186
bioethanol	A32_10	215758	0.9194744914535231	4	0.00138117705948331
bioethanol	A32_10	215758	0.9194744914535231	5	0.0014646038617339798
bioethanol	A32_10	215758	0.9194744914535231	6	0.001552665486331909
bioethanol	A32_10	215758	0.9194744914535231	7	0.001640727110929838
bioethanol	A32_10	215758	0.9194744914535231	8	0.0017056146237914701
bioethanol	A32_10	215758	0.9194744914535231	9	0.0017287887355277671
bioethanol	A32_10	215758	0.9194744914535231	10	0.0017565976696113238
bioethanol	A32_18	280805	0.7083880630346244	1	7.336051708480974e-4
bioethanol	A32_18	280805	0.7083880630346244	2	8.226349245917986e-4
bioethanol	A32_18	280805	0.7083880630346244	3	8.831751571375154e-4
bioethanol	A32_18	280805	0.7083880630346244	4	9.223482487847438e-4
bioethanol	A32_18	280805	0.7083880630346244	5	9.579601502822243e-4
bioethanol	A32_18	280805	0.7083880630346244	6	9.793272911807127e-4
bioethanol	A32_18	280805	0.7083880630346244	7	0.0010256227631274372
bioethanol	A32_18	280805	0.7083880630346244	8	0.0010505510941756736
bioethanol	A32_18	280805	0.7083880630346244	9	0.0010541122843254216
bioethanol	A32_18	280805	0.7083880630346244	10	0.0010612346646249177
bioethanol	A32_39	25643	1.5603945507429644	1	0.00280778380064735
bioethanol	A32_39	25643	1.5603945507429644	2	0.0034707327535779746
bioethanol	A32_39	25643	1.5603945507429644	3	0.00401669071481496
bioethanol	A32_39	25643	1.5603945507429644	4	0.004406660687127091
bioethanol	A32_39	25643	1.5603945507429644	5	0.004562648676051944
bioethanol	A32_39	25643	1.5603945507429644	6	0.00464064267051437
bioethanol	A32_39	25643	1.5603945507429644	7	0.004913621651132863
bioethanol	A32_39	25643	1.5603945507429644	8	0.005147603634520142
bioethanol	A32_39	25643	1.5603945507429644	9	0.0052255976289825685
bioethanol	A32_39	25643	1.5603945507429644	10	0.0054595796123698475
bioethanol	A32_DR	27829	1.117415323854706	1	0.0021200905530202306
bioethanol	A32_DR	27829	1.117415323854706	2	0.0028028315785691184
bioethanol	A32_DR	27829	1.117415323854706	3	0.0031621689604369543
bioethanol	A32_DR	27829	1.117415323854706	4	0.003701175033238708
bioethanol	A32_DR	27829	1.117415323854706	5	0.00402457867691976
bioethanol	A32_DR	27829	1.117415323854706	6	0.004096446153293327
bioethanol	A32_DR	27829	1.117415323854706	7	0.004276114844227245
bioethanol	A32_DR	27829	1.117415323854706	8	0.004347982320600812
bioethanol	A32_DR	27829	1.117415323854706	9	0.004563584749721514
bioethanol	A32_DR	27829	1.117415323854706	10	0.0046713859642818645
bioethanol	A32_PS	48434	1.4278980652190547	1	0.00268406491307759
bioethanol	A32_PS	48434	1.4278980652190547	2	0.0036544576124210265
bioethanol	A32_PS	48434	1.4278980652190547	3	0.004108683982326465
bioethanol	A32_PS	48434	1.4278980652190547	4	0.004562910352231903
bioethanol	A32_PS	48434	1.4278980652190547	5	0.004728083577652063
bioethanol	A32_PS	48434	1.4278980652190547	6	0.004831316843539662
bioethanol	A32_PS	48434	1.4278980652190547	7	0.005017136722137341
bioethanol	A32_PS	48434	1.4278980652190547	8	0.005141016641202461
bioethanol	A32_PS	48434	1.4278980652190547	9	0.005223603253912541
bioethanol	A32_PS	48434	1.4278980652190547	10	0.0052855432134451
bioethanol	A41_10	37929	1.4827574441745985	1	0.0034010915130902476
bioethanol	A41_10	37929	1.4827574441745985	2	0.004613883835587545
bioethanol	A41_10	37929	1.4827574441745985	3	0.005563025653194126
bioethanol	A41_10	37929	1.4827574441745985	4	0.006143056763953703
bioethanol	A41_10	37929	1.4827574441745985	5	0.006591262622267922
bioethanol	A41_10	37929	1.4827574441745985	6	0.007065833531071212
bioethanol	A41_10	37929	1.4827574441745985	7	0.007593134540852645
bioethanol	A41_10	37929	1.4827574441745985	8	0.007856785045743362
bioethanol	A41_10	37929	1.4827574441745985	9	0.008120435550634079
bioethanol	A41_10	37929	1.4827574441745985	10	0.008252260803079437
bioethanol	A41_18	88197	0.7344140675355172	1	0.00150798780003855
bioethanol	A41_18	88197	0.7344140675355172	2	0.0017460911368867421
bioethanol	A41_18	88197	0.7344140675355172	3	0.001972856219599306
bioethanol	A41_18	88197	0.7344140675355172	4	0.002086238760955588
bioethanol	A41_18	88197	0.7344140675355172	5	0.0021769447940406137
bioethanol	A41_18	88197	0.7344140675355172	6	0.0022336360647187544
bioethanol	A41_18	88197	0.7344140675355172	7	0.0022903273353968956
bioethanol	A41_18	88197	0.7344140675355172	8	0.0023583568602106647
bioethanol	A41_18	88197	0.7344140675355172	9	0.0023923716226175494
bioethanol	A41_18	88197	0.7344140675355172	10	0.0024037098767531774
bioethanol	A41_39	46771	1.1022405786320155	1	0.0017318423809625622
bioethanol	A41_39	46771	1.1022405786320155	2	0.0024374077954287914
bioethanol	A41_39	46771	1.1022405786320155	3	0.002865023198135597
bioethanol	A41_39	46771	1.1022405786320155	4	0.0031429732098950205
bioethanol	A41_39	46771	1.1022405786320155	5	0.0033995424515191035
bioethanol	A41_39	46771	1.1022405786320155	6	0.003506446302195805
bioethanol	A41_39	46771	1.1022405786320155	7	0.003827157854225909
bioethanol	A41_39	46771	1.1022405786320155	8	0.003955442475037951
bioethanol	A41_39	46771	1.1022405786320155	9	0.004105107865985333
bioethanol	A41_39	46771	1.1022405786320155	10	0.004190630946526694
bioethanol	A41_DR	20312	1.3203093003976287	1	0.0030523828278849943
bioethanol	A41_DR	20312	1.3203093003976287	2	0.004283182355257976
bioethanol	A41_DR	20312	1.3203093003976287	3	0.0050708940527766835
bioethanol	A41_DR	20312	1.3203093003976287	4	0.005563213863725876
bioethanol	A41_DR	20312	1.3203093003976287	5	0.00595706971248523
bioethanol	A41_DR	20312	1.3203093003976287	6	0.006400157542339504
bioethanol	A41_DR	20312	1.3203093003976287	7	0.0065478534856242615
bioethanol	A41_DR	20312	1.3203093003976287	8	0.00669554942890902
bioethanol	A41_DR	20312	1.3203093003976287	9	0.0069909413154785344
bioethanol	A41_DR	20312	1.3203093003976287	10	0.0070894052776683735
bioethanol	A41_PS	16015	2.9425454508732765	1	0.004995316890415236
bioethanol	A41_PS	16015	2.9425454508732765	2	0.006681236340930378
bioethanol	A41_PS	16015	2.9425454508732765	3	0.00836715579144552
bioethanol	A41_PS	16015	2.9425454508732765	4	0.009553543552919139
bioethanol	A41_PS	16015	2.9425454508732765	5	0.010490165469871995
bioethanol	A41_PS	16015	2.9425454508732765	6	0.01117702154230409
bioethanol	A41_PS	16015	2.9425454508732765	7	0.011863877614736186
bioethanol	A41_PS	16015	2.9425454508732765	8	0.012363409303777708
bioethanol	A41_PS	16015	2.9425454508732765	9	0.012862940992819231
bioethanol	A41_PS	16015	2.9425454508732765	10	0.013175148298470184
bioethanol	A42_10	66822	0.49704411200040666	1	0.0015114782556643021
bioethanol	A42_10	66822	0.49704411200040666	2	0.0019005716680135284
bioethanol	A42_10	66822	0.49704411200040666	3	0.002184909161653348
bioethanol	A42_10	66822	0.49704411200040666	4	0.00236449073658376
bioethanol	A42_10	66822	0.49704411200040666	5	0.002544072311514172
bioethanol	A42_10	66822	0.49704411200040666	6	0.0026787584927119813
bioethanol	A42_10	66822	0.49704411200040666	7	0.002693723623956182
bioethanol	A42_10	66822	0.49704411200040666	8	0.002708688755200383
bioethanol	A42_10	66822	0.49704411200040666	9	0.0027236538864445843
bioethanol	A42_10	66822	0.49704411200040666	10	0.002753584148932986
bioethanol	A42_18	125057	0.7795805049894958	1	9.595624395275754e-4
bioethanol	A42_18	125057	0.7795805049894958	2	0.0011754639884212798
bioethanol	A42_18	125057	0.7795805049894958	3	0.0013433874153386057
bioethanol	A42_18	125057	0.7795805049894958	4	0.0014313473056286334
bioethanol	A42_18	125057	0.7795805049894958	5	0.0015033144885932014
bioethanol	A42_18	125057	0.7795805049894958	6	0.0015512926105695803
bioethanol	A42_18	125057	0.7795805049894958	7	0.0016072670862086887
bioethanol	A42_18	125057	0.7795805049894958	8	0.0016552452081850676
bioethanol	A42_18	125057	0.7795805049894958	9	0.0016952269764987165
bioethanol	A42_18	125057	0.7795805049894958	10	0.0017112196838241763
bioethanol	A42_39	56166	1.1203390121177064	1	0.0015667841754798276
bioethanol	A42_39	56166	1.1203390121177064	2	0.0021365238756543103
bioethanol	A42_39	56166	1.1203390121177064	3	0.0023501762632197414
bioethanol	A42_39	56166	1.1203390121177064	4	0.0025460242851547197
bioethanol	A42_39	56166	1.1203390121177064	5	0.002706263575828793
bioethanol	A42_39	56166	1.1203390121177064	6	0.002848698500872414
bioethanol	A42_39	56166	1.1203390121177064	7	0.0030089377915464874
bioethanol	A42_39	56166	1.1203390121177064	8	0.0030445465228073924
bioethanol	A42_39	56166	1.1203390121177064	9	0.003133568350959655
bioethanol	A42_39	56166	1.1203390121177064	10	0.003186981447851013
bioethanol	A42_DR	55837	1.1330641261476697	1	0.0012178304708347512
bioethanol	A42_DR	55837	1.1330641261476697	2	0.0014685602736536705
bioethanol	A42_DR	55837	1.1330641261476697	3	0.0017371993481025128
bioethanol	A42_DR	55837	1.1330641261476697	4	0.0019162920644017409
bioethanol	A42_DR	55837	1.1330641261476697	5	0.0020416569658112003
bioethanol	A42_DR	55837	1.1330641261476697	6	0.0022386589537403516
bioethanol	A42_DR	55837	1.1330641261476697	7	0.0023102960402600426
bioethanol	A42_DR	55837	1.1330641261476697	8	0.0023998423984096565
bioethanol	A42_DR	55837	1.1330641261476697	9	0.002471479484929348
bioethanol	A42_DR	55837	1.1330641261476697	10	0.002561025843078962
bioethanol	A42_PS	12560	2.602144161072184	1	0.006130573248407644
bioethanol	A42_PS	12560	2.602144161072184	2	0.008359872611464968
bioethanol	A42_PS	12560	2.602144161072184	3	0.009156050955414012
bioethanol	A42_PS	12560	2.602144161072184	4	0.010031847133757961
bioethanol	A42_PS	12560	2.602144161072184	5	0.011305732484076432
bioethanol	A42_PS	12560	2.602144161072184	6	0.01194267515923567
bioethanol	A42_PS	12560	2.602144161072184	7	0.012420382165605096
bioethanol	A42_PS	12560	2.602144161072184	8	0.01337579617834395
bioethanol	A42_PS	12560	2.602144161072184	9	0.013694267515923567
bioethanol	A42_PS	12560	2.602144161072184	10	0.013694267515923567
bioethanol	B1_10	7239	1.7559238990365529	1	0.0056637657134963396
bioethanol	B1_10	7239	1.7559238990365529	2	0.008288437629506838
bioethanol	B1_10	7239	1.7559238990365529	3	0.010222406409725101
bioethanol	B1_10	7239	1.7559238990365529	4	0.011465672054151126
bioethanol	B1_10	7239	1.7559238990365529	5	0.01229451581710181
