dataset	sample	n	shannon	freq_removed	fraction_lost
bioethanol	A11_10	72697	0.9700168622390407	1	0.001568152743579515
bioethanol	A11_10	72697	0.9700168622390407	2	0.0018570229858178467
bioethanol	A11_10	72697	0.9700168622390407	3	0.0021321375022353055
bioethanol	A11_10	72697	0.9700168622390407	4	0.0023659848411901455
bioethanol	A11_10	72697	0.9700168622390407	5	0.002476030647757129
bioethanol	A11_10	72697	0.9700168622390407	6	0.0026273436317867313
bioethanol	A11_10	72697	0.9700168622390407	7	0.0026823665350702228
bioethanol	A11_10	72697	0.9700168622390407	8	0.002847435244920698
bioethanol	A11_10	72697	0.9700168622390407	9	0.002874946696562444
bioethanol	A11_10	72697	0.9700168622390407	10	0.00290245814820419
bioethanol	A11_18	170551	0.5811546547656764	1	0.0011785331073989598
bioethanol	A11_18	170551	0.5811546547656764	2	0.0014189304079131756
bioethanol	A11_18	170551	0.5811546547656764	3	0.0015244706861877093
bioethanol	A11_18	170551	0.5811546547656764	4	0.0016065575692901244
bioethanol	A11_18	170551	0.5811546547656764	5	0.0016651910572204208
bioethanol	A11_18	170551	0.5811546547656764	6	0.0017355512427367767
bioethanol	A11_18	170551	0.5811546547656764	7	0.0017765946842879842
bioethanol	A11_18	170551	0.5811546547656764	8	0.0017824580330810138
bioethanol	A11_18	170551	0.5811546547656764	9	0.0018059114282531325
bioethanol	A11_18	170551	0.5811546547656764	10	0.0018235014746322215
bioethanol	A11_39	38044	1.0108184240504392	1	0.0021816843654715594
bioethanol	A11_39	38044	1.0108184240504392	2	0.0026548207338870783
bioethanol	A11_39	38044	1.0108184240504392	3	0.0029965303332982864
bioethanol	A11_39	38044	1.0108184240504392	4	0.003495952055514667
bioethanol	A11_39	38044	1.0108184240504392	5	0.0038639470087267376
bioethanol	A11_39	38044	1.0108184240504392	6	0.004153085900536221
bioethanol	A11_39	38044	1.0108184240504392	7	0.004363368730943119
bioethanol	A11_39	38044	1.0108184240504392	8	0.004494795499947429
bioethanol	A11_39	38044	1.0108184240504392	9	0.004731363684155189
bioethanol	A11_39	38044	1.0108184240504392	10	0.004731363684155189
bioethanol	A11_DR	37913	1.0848699566209363	1	0.0014770659140664153
bioethanol	A11_DR	37913	1.0848699566209363	2	0.0019518371007306201
bioethanol	A11_DR	37913	1.0848699566209363	3	0.0022947274022103235
bioethanol	A11_DR	37913	1.0848699566209363	4	0.0025848653496162266
bioethanol	A11_DR	37913	1.0848699566209363	5	0.0025848653496162266
bioethanol	A11_DR	37913	1.0848699566209363	6	0.0027431224118376284
bioethanol	A11_DR	37913	1.0848699566209363	7	0.0027958747659114287
bioethanol	A11_DR	37913	1.0848699566209363	8	0.0028750032970221297
bioethanol	A11_DR	37913	1.0848699566209363	9	0.00290137947405903
bioethanol	A11_DR	37913	1.0848699566209363	10	0.003006884182206631
bioethanol	A11_PS	4282	3.953736605457915	1	0.01821578701541336
bioethanol	A11_PS	4282	3.953736605457915	2	0.02452125175151798
bioethanol	A11_PS	4282	3.953736605457915	3	0.029191966370854742
bioethanol	A11_PS	4282	3.953736605457915	4	0.033395609528257826
bioethanol	A11_PS	4282	3.953736605457915	5	0.03643157403082672
bioethanol	A11_PS	4282	3.953736605457915	6	0.041335824381130315
bioethanol	A11_PS	4282	3.953736605457915	7	0.044371788883699206
bioethanol	A11_PS	4282	3.953736605457915	8	0.04624007473143391
bioethanol	A11_PS	4282	3.953736605457915	9	0.04810836057916861
bioethanol	A11_PS	4282	3.953736605457915	10	0.049743110695936475
bioethanol	A12_10	6264	2.5518961166801266	1	0.015964240102171137
bioethanol	A12_10	6264	2.5518961166801266	2	0.02219029374201788
bioethanol	A12_10	6264	2.5518961166801266	3	0.026181353767560665
bioethanol	A12_10	6264	2.5518961166801266	4	0.029533844189016605
bioethanol	A12_10	6264	2.5518961166801266	5	0.031289910600255426
bioethanol	A12_10	6264	2.5518961166801266	6	0.032407407407407406
bioethanol	A12_10	6264	2.5518961166801266	7	0.033365261813537675
bioethanol	A12_10	6264	2.5518961166801266	8	0.034802043422733075
bioethanol	A12_10	6264	2.5518961166801266	9	0.035759897828863345
bioethanol	A12_10	6264	2.5518961166801266	10	0.03639846743295019
bioethanol	A12_18	14684	2.084365635673613	1	0.004494688095886679
bioethanol	A12_18	14684	2.084365635673613	2	0.0059929174611822395
bioethanol	A12_18	14684	2.084365635673613	3	0.007423045491691638
bioethanol	A12_18	14684	2.084365635673613	4	0.008172160174339417
bioethanol	A12_18	14684	2.084365635673613	5	0.009057477526559521
bioethanol	A12_18	14684	2.084365635673613	6	0.0098065922092073
bioethanol	A12_18	14684	2.084365635673613	7	0.010351402887496594
bioethanol	A12_18	14684	2.084365635673613	8	0.011100517570144375
bioethanol	A12_18	14684	2.084365635673613	9	0.01164532824843367
bioethanol	A12_18	14684	2.084365635673613	10	0.012122037591936802
bioethanol	A12_39	6771	3.5015567836903	1	0.010633584404076208
bioethanol	A12_39	6771	3.5015567836903	2	0.015064244572441293
bioethanol	A12_39	6771	3.5015567836903	3	0.01831339536257569
bioethanol	A12_39	6771	3.5015567836903	4	0.020971791463594742
bioethanol	A12_39	6771	3.5015567836903	5	0.02422094225372914
bioethanol	A12_39	6771	3.5015567836903	6	0.0256978289765175
bioethanol	A12_39	6771	3.5015567836903	7	0.02702702702702703
bioethanol	A12_39	6771	3.5015567836903	8	0.028208536405257716
bioethanol	A12_39	6771	3.5015567836903	9	0.02968542312804608
bioethanol	A12_39	6771	3.5015567836903	10	0.030571555161719097
bioethanol	A12_DR	8453	3.3918583873839374	1	0.007216372885366142
bioethanol	A12_DR	8453	3.3918583873839374	2	0.011120312315154384
bioethanol	A12_DR	8453	3.3918583873839374	3	0.01419614338104815
bioethanol	A12_DR	8453	3.3918583873839374	4	0.016562167277889506
bioethanol	A12_DR	8453	3.3918583873839374	5	0.01762687803146812
bioethanol	A12_DR	8453	3.3918583873839374	6	0.01821838400567846
bioethanol	A12_DR	8453	3.3918583873839374	7	0.019164793564415
bioethanol	A12_DR	8453	3.3918583873839374	8	0.020111203123151542
bioethanol	A12_DR	8453	3.3918583873839374	9	0.02034780551283568
bioethanol	A12_DR	8453	3.3918583873839374	10	0.02093931148704602
bioethanol	A12_PS	9576	3.2081945202123654	1	0.00992063492063492
bioethanol	A12_PS	9576	3.2081945202123654	2	0.012949039264828738
bioethanol	A12_PS	9576	3.2081945202123654	3	0.015350877192982455
bioethanol	A12_PS	9576	3.2081945202123654	4	0.017230576441102756
bioethanol	A12_PS	9576	3.2081945202123654	5	0.01858813700918964
bioethanol	A12_PS	9576	3.2081945202123654	6	0.019423558897243107
bioethanol	A12_PS	9576	3.2081945202123654	7	0.02046783625730994
bioethanol	A12_PS	9576	3.2081945202123654	8	0.02140768588137009
bioethanol	A12_PS	9576	3.2081945202123654	9	0.021825396825396824
bioethanol	A12_PS	9576	3.2081945202123654	10	0.022869674185463658
bioethanol	A21_10	50092	1.056454121856726	1	0.0037131677713008065
bioethanol	A21_10	50092	1.056454121856726	2	0.004950890361734408
bioethanol	A21_10	50092	1.056454121856726	3	0.005809310868002875
bioethanol	A21_10	50092	1.056454121856726	4	0.006188612952168011
bioethanol	A21_10	50092	1.056454121856726	5	0.006627804839096064
bioethanol	A21_10	50092	1.056454121856726	6	0.006967180388085922
bioethanol	A21_10	50092	1.056454121856726	7	0.007186776331549948
bioethanol	A21_10	50092	1.056454121856726	8	0.00746626207777689
bioethanol	A21_10	50092	1.056454121856726	9	0.007606004950890362
bioethanol	A21_10	50092	1.056454121856726	10	0.007845564161942027
bioethanol	A21_18	59658	0.5693161941822046	1	0.002279660732843877
bioethanol	A21_18	59658	0.5693161941822046	2	0.003184820141473063
bioethanol	A21_18	59658	0.5693161941822046	3	0.0037212109021422107
bioethanol	A21_18	59658	0.5693161941822046	4	0.004123503972644071
bioethanol	A21_18	59658	0.5693161941822046	5	0.004425223775520466
bioethanol	A21_18	59658	0.5693161941822046	6	0.004592845888229575
bioethanol	A21_18	59658	0.5693161941822046	7	0.004743705789667773
bioethanol	A21_18	59658	0.5693161941822046	8	0.004995138958731436
bioethanol	A21_18	59658	0.5693161941822046	9	0.005145998860169633
