dataset	sample	n	shannon	min_freq	coverage
bioethanol	A11_10	72697	0.9700168622390407	1	0.45614035087719296
bioethanol	A11_10	72697	0.9700168622390407	2	0.6666666666666667
bioethanol	A11_10	72697	0.9700168622390407	3	0.9
bioethanol	A11_10	72697	0.9700168622390407	4	0.9411764705882353
bioethanol	A11_10	72697	0.9700168622390407	5	1
bioethanol	A11_10	72697	0.9700168622390407	6	0.9090909090909091
bioethanol	A11_10	72697	0.9700168622390407	7	0.75
bioethanol	A11_10	72697	0.9700168622390407	8	0.8333333333333334
bioethanol	A11_10	72697	0.9700168622390407	9	1
bioethanol	A11_10	72697	0.9700168622390407	10	1
bioethanol	A11_18	170551	0.5811546547656764	1	0.22388059701492535
bioethanol	A11_18	170551	0.5811546547656764	2	0.5609756097560976
bioethanol	A11_18	170551	0.5811546547656764	3	0.8888888888888888
bioethanol	A11_18	170551	0.5811546547656764	4	0.9285714285714286
bioethanol	A11_18	170551	0.5811546547656764	5	0.9
bioethanol	A11_18	170551	0.5811546547656764	6	0.9166666666666666
bioethanol	A11_18	170551	0.5811546547656764	7	1
bioethanol	A11_18	170551	0.5811546547656764	8	1
bioethanol	A11_18	170551	0.5811546547656764	9	1
bioethanol	A11_18	170551	0.5811546547656764	10	1
bioethanol	A11_39	38044	1.0108184240504392	1	0.4457831325301205
bioethanol	A11_39	38044	1.0108184240504392	2	0.7222222222222222
bioethanol	A11_39	38044	1.0108184240504392	3	0.6923076923076923
bioethanol	A11_39	38044	1.0108184240504392	4	0.8947368421052632
bioethanol	A11_39	38044	1.0108184240504392	5	0.9285714285714286
bioethanol	A11_39	38044	1.0108184240504392	6	0.9090909090909091
bioethanol	A11_39	38044	1.0108184240504392	7	0.875
bioethanol	A11_39	38044	1.0108184240504392	8	1
bioethanol	A11_39	38044	1.0108184240504392	9	0.7777777777777778
bioethanol	A11_39	38044	1.0108184240504392	10	0
bioethanol	A11_DR	37913	1.0848699566209363	1	0.375
bioethanol	A11_DR	37913	1.0848699566209363	2	0.7222222222222222
bioethanol	A11_DR	37913	1.0848699566209363	3	0.9230769230769231
bioethanol	A11_DR	37913	1.0848699566209363	4	0.7272727272727273
bioethanol	A11_DR	37913	1.0848699566209363	5	0
bioethanol	A11_DR	37913	1.0848699566209363	6	1
bioethanol	A11_DR	37913	1.0848699566209363	7	1
bioethanol	A11_DR	37913	1.0848699566209363	8	1
bioethanol	A11_DR	37913	1.0848699566209363	9	1
bioethanol	A11_DR	37913	1.0848699566209363	10	1
bioethanol	A11_PS	4282	3.953736605457915	1	0.5641025641025641
bioethanol	A11_PS	4282	3.953736605457915	2	0.7407407407407407
bioethanol	A11_PS	4282	3.953736605457915	3	0.9
bioethanol	A11_PS	4282	3.953736605457915	4	0.6666666666666667
bioethanol	A11_PS	4282	3.953736605457915	5	0.7692307692307692
bioethanol	A11_PS	4282	3.953736605457915	6	0.7619047619047619
bioethanol	A11_PS	4282	3.953736605457915	7	0.9230769230769231
bioethanol	A11_PS	4282	3.953736605457915	8	0.75
bioethanol	A11_PS	4282	3.953736605457915	9	0.875
bioethanol	A11_PS	4282	3.953736605457915	10	0.8571428571428572
bioethanol	A12_10	6264	2.5518961166801266	1	0.54
bioethanol	A12_10	6264	2.5518961166801266	2	0.7435897435897436
bioethanol	A12_10	6264	2.5518961166801266	3	0.8
bioethanol	A12_10	6264	2.5518961166801266	4	0.9047619047619048
bioethanol	A12_10	6264	2.5518961166801266	5	0.8181818181818181
bioethanol	A12_10	6264	2.5518961166801266	6	1
bioethanol	A12_10	6264	2.5518961166801266	7	1
bioethanol	A12_10	6264	2.5518961166801266	8	1
bioethanol	A12_10	6264	2.5518961166801266	9	0.8333333333333334
bioethanol	A12_10	6264	2.5518961166801266	10	1
bioethanol	A12_18	14684	2.084365635673613	1	0.4242424242424242
bioethanol	A12_18	14684	2.084365635673613	2	0.7727272727272727
bioethanol	A12_18	14684	2.084365635673613	3	0.7619047619047619
bioethanol	A12_18	14684	2.084365635673613	4	0.7272727272727273
bioethanol	A12_18	14684	2.084365635673613	5	0.7692307692307692
bioethanol	A12_18	14684	2.084365635673613	6	1
bioethanol	A12_18	14684	2.084365635673613	7	0.875
bioethanol	A12_18	14684	2.084365635673613	8	1
bioethanol	A12_18	14684	2.084365635673613	9	0.875
