dataset	method	prune	mean	sd	sd_mean	median	iqr	iqr_median	lci	uci
rainforest	pc	11	0.8272641602728048	0.12729272782740367	0.1538719237944826	0.8652805	0.1604612499999999	0.18544419988662622	0.7620830000000001	0.92254425
rice	pc	1	0.9146910789783398	0.0787105197864533	0.0860514785760988	0.936859	0.06825300000000001	0.07285301203276054	0.896527	0.96478
rice	pc	2	0.9108699410542132	0.08302438335180248	0.09114845008027446	0.934253	0.07378200000000001	0.078974324941959	0.890663	0.964445
rice	pc	3	0.9123709931555444	0.08284528073480689	0.09080218612417364	0.935764	0.07315399999999994	0.07817569387153164	0.892537	0.965691
rice	pc	4	0.9140023488335212	0.0825639956383763	0.0903323670270072	0.937391	0.07261499999999999	0.07746500659810046	0.89445	0.967065
rice	pc	5	0.9157712153749844	0.08203596092085993	0.08958128356029224	0.939084	0.0718080000000001	0.07646600304126158	0.89659199999999994	0.9684
rice	pc	6	0.9169775961687743	0.08187771011881093	0.08929085122788641	0.940328	0.07131900000000002	0.0758448115976553	0.89808	0.969399
rice	pc	7	0.9179756716914987	0.08175104329514614	0.08905578417400582	0.941352	0.07096799999999992	0.07538943986946427	0.899294	0.970262
rice	pc	8	0.9194907595092024	0.08118178064515176	0.08828993636486814	0.942752	0.070264	0.07453073554869148	0.901101	0.971365
rice	pc	9	0.9212407425232669	0.0802520360190358	0.08711299046460588	0.944434	0.06921100000000002	0.07328304571838797	0.903197	0.972408
rice	pc	10	0.9225815089854347	0.07960299072263267	0.08628288118431107	0.945641	0.06851299999999994	0.07245138482785744	0.904757	0.97327
rice	pc	11	0.9231208891865949	0.07963428862898415	0.0862663704849683	0.946244	0.06829399999999997	0.07217377336078218	0.905462	0.973756
seagrass	pc	1	0.7085188241688136	0.06760621953942976	0.09541908730334837	0.693622	0.07003349999999997	0.10096781820645824	0.6644065	0.73444
seagrass	pc	2	0.6646833184149185	0.08267155830356852	0.1243773628932298	0.645819	0.08511100000000005	0.1317876990302237	0.610254	0.695365
seagrass	pc	3	0.6560296854373696	0.08729854516824816	0.13307102880572688	0.636344	0.09059850000000003	0.14237346466690975	0.598454	0.6890525000000001
seagrass	pc	4	0.6493858276775856	0.09232756244148055	0.14217674378831746	0.629179	0.09704400000000002	0.15423909571044173	0.588309	0.685353
seagrass	pc	5	0.6480274488529015	0.09557396497263913	0.14748443934252833	0.627485	0.10172599999999998	0.1621170227176745	0.584651	0.686377
seagrass	pc	6	0.6453796469390259	0.09902418037736735	0.15343554890060382	0.624082	0.10664399999999996	0.17088139058649338	0.579478	0.686122
seagrass	pc	7	0.646798422622991	0.10148211215833633	0.15689913365402364	0.624908	0.11042000000000007	0.17669800994706433	0.57895	0.68937
seagrass	pc	8	0.6449276862961599	0.10439553141160261	0.16187168519799397	0.622181	0.114533	0.18408308836174683	0.575014	0.689547
seagrass	pc	9	0.6473953401791191	0.10614263148016197	0.1639533448770187	0.624505	0.11720399999999997	0.1876750386305954	0.576326	0.69353
seagrass	pc	10	0.6538914007606429	0.10665137057121056	0.1631025739857532	0.631381	0.11936600000000008	0.18905541978615145	0.5822944999999999	0.7016605
seagrass	pc	11	0.649276404416636	0.10985871278830532	0.16920176374961837	0.62541	0.12440299999999993	0.19891431221118935	0.574925	0.699328
sediment	pc	1	0.8759487156684815	0.10990409487269873	0.12546864092246002	0.907529	0.13653899999999997	0.15045139053407655	0.820679	0.957218
sediment	pc	2	0.872542521476104	0.11287578440561603	0.12936422194606745	0.904505	0.13992100000000007	0.1546934511141454	0.816	0.955921
sediment	pc	3	0.872325150030248	0.11319267443201922	0.12975972827115467	0.904154	0.140123	0.15497691764898458	0.815759	0.955882
sediment	pc	4	0.8720242292800968	0.11364173449676072	0.13031946897917976	0.90439	0.14056599999999997	0.155426309446146	0.815207	0.955773
sediment	pc	5	0.8717207120387175	0.11415069008367511	0.13094869550214966	0.904365	0.14077499999999998	0.1556617073858453	0.814914	0.955689
sediment	pc	6	0.8714687326073806	0.11462730073491323	0.13153346350356762	0.904618	0.142594	0.15762896603870363	0.813443	0.956037
sediment	pc	7	0.8711944652147611	0.1151101750194904	0.13212913949254051	0.904096	0.142409	0.15751535235196262	0.813478	0.955887
sediment	pc	8	0.8708975789473684	0.11571041170706392	0.13286339806676248	0.904351	0.143077	0.15820958897596177	0.81267	0.955747
sediment	pc	9	0.870602791893527	0.116241084663246	0.13351793234021933	0.903886	0.144235	0.15957211418254072	0.811769	0.956004
sediment	pc	10	0.8704192431941924	0.11679130699030027	0.1341782226248919	0.904605	0.14520599999999995	0.16051867942361578	0.811548	0.956754
sediment	pc	11	0.8700195541439807	0.11737497384503445	0.13491073078296573	0.903959	0.14586900000000003	0.1613668319027744	0.811074	0.956943
soil	pc	1	0.8003164575163398	0.21382785324266868	0.26717912799925525	0.987461	0.38550799999999996	0.3904032665593881	0.608402	0.99391
soil	pc	2	0.7672581895424837	0.2460413278883499	0.3206760530442359	0.985468	0.464314	0.4711609103491945	0.52889	0.993204
soil	pc	3	0.7661416862745098	0.24714844720743379	0.3225884345351756	0.985482	0.465229	0.4720826965890803	0.528119	0.993348
soil	pc	4	0.7648303202614379	0.24850717091121957	0.32491804303243843	0.985409	0.472529	0.47952576036955213	0.520845	0.993374
soil	pc	5	0.7635677777777777	0.2497177660578254	0.3270407334167277	0.985222	0.480302	0.4875063691228982	0.512968	0.99327
soil	pc	6	0.7624831960784314	0.25094880421022187	0.3291204389826428	0.985589	0.48677100000000006	0.4938884261086518	0.506659	0.99343
soil	pc	7	0.7614596143790849	0.251947809416797	0.33087481549791997	0.98532	0.48852799999999996	0.49580643851743594	0.50497	0.993498
soil	pc	8	0.7608364509803922	0.25266372159919287	0.3320867727533527	0.985452	0.489499	0.49672536054521177	0.503935	0.993434
soil	pc	9	0.7603100196078432	0.2533284246502601	0.33319095910497565	0.985309	0.48956	0.4968593608705492	0.50402	0.99358
soil	pc	10	0.7596294967320262	0.253978552577775	0.33434530079519914	0.985148	0.49048899999999995	0.49788356673312023	0.502981	0.99347
soil	pc	11	0.7591602156862746	0.25457893980771007	0.3353428361331775	0.985127	0.493042	0.5004857241756646	0.500564	0.993606
stream	pc	1	0.8123491846268657	0.12790150563219313	0.15744646274365598	0.8344185	0.17532275000000008	0.21011368995294338	0.73929125	0.914614
stream	pc	2	0.7981736291542288	0.13753163450026037	0.1723079158177569	0.821367	0.19260999999999995	0.23449931638354105	0.7162915	0.9089014999999999
stream	pc	3	0.7894970784577114	0.14250089570988944	0.18049578598601787	0.8120065	0.2027095	0.24964024302761123	0.702462	0.9051715
stream	pc	4	0.7830813789054727	0.14611105082749296	0.18658475959639734	0.804263	0.21029275000000003	0.2614726153012137	0.6922515	0.90254425
stream	pc	5	0.7797238997512438	0.14829788926328547	0.1901928224985756	0.800084	0.21489575000000005	0.2685914853940337	0.68665625	0.901552
stream	pc	6	0.7773085662686567	0.1499849388766296	0.19295418239967158	0.797317	0.218437	0.2739650603210517	0.682657	0.901094
stream	pc	7	0.7756629913432835	0.15128727223809602	0.195042529973099	0.7954335	0.22117325	0.2780537279357734	0.679718	0.90089125
stream	pc	8	0.7742798801492538	0.15242106621683824	0.19685525883412708	0.7938195	0.22428575000000006	0.2825399854752876	0.676662	0.90094775
stream	pc	9	0.7732616475621891	0.1533938665956807	0.19837252640070202	0.7925215	0.22633074999999991	0.2855831040545902	0.6747762500000001	0.901107
stream	pc	10	0.7723102159701493	0.15425403659852135	0.19973066963092387	0.7913935	0.2279549999999999	0.288042547733839	0.6730367500000001	0.90099175
stream	pc	11	0.7715610785074627	0.1549749994149059	0.20085901652101926	0.790334	0.22969024999999987	0.2906242803675407	0.6715520000000001	0.90124225
bioethanol	otu	1	0.8044287538633819	0.22837024363939426	0.28389119924246137	0.900152	0.261166	0.2901354437917152	0.713533	0.974699
bioethanol	otu	2	0.8048852235162374	0.22882702160946286	0.2842977047209348	0.901093	0.260178	0.2887360128199864	0.714855	0.975033
bioethanol	otu	3	0.80523919193729	0.22910232284683704	0.28451462017844625	0.902017	0.26031800000000005	0.28859544775763657	0.714961	0.975279
bioethanol	otu	4	0.8056358326987682	0.22944315389026548	0.28479760280977423	0.903281	0.25878199999999996	0.2864911362023556	0.716825	0.975607
bioethanol	otu	5	0.8058689961926092	0.2297777023864735	0.28513034186955466	0.904249	0.25966	0.2871554184743362	0.716322	0.975982
bioethanol	otu	6	0.8060478004479283	0.23015541986079935	0.285535696186876	0.905019	0.258049	0.2851310303982568	0.71784	0.975889
bioethanol	otu	7	0.8060966156774916	0.23048056825753566	0.28592176641732464	0.905628	0.257965	0.2848465374303798	0.71802	0.975985
bioethanol	otu	8	0.8063226474804032	0.23086797815737597	0.2863220807189184	0.906551	0.25855700000000004	0.2852095469532327	0.717858	0.976415
bioethanol	otu	9	0.8064895762597984	0.23126011672264718	0.286749046150288	0.906973	0.257428	0.2838320435117693	0.719012	0.97644
bioethanol	otu	10	0.806663912206047	0.23161015098101256	0.2871210022865782	0.907868	0.2574700000000001	0.28359849669775794	0.719266	0.976736
bioethanol	otu	11	0.8067374118701007	0.23198252858423205	0.2875564281151565	0.908391	0.258158	0.28419259988264967	0.718664	0.976822
human	otu	1	0.7181061474980176	0.1005810375770166	0.14006430376268889	0.719896	0.14023399999999997	0.19479758187293716	0.648964	0.789198
human	otu	2	0.7184854074871666	0.1009510869541921	0.14050541027306146	0.720334	0.14067600000000002	0.19529273920153709	0.649135	0.789811
human	otu	3	0.7186951942740286	0.10120879168574412	0.14082296986551798	0.720627	0.14113900000000001	0.19585583110263702	0.649119	0.790258
human	otu	4	0.7189754193481074	0.10142890753137739	0.14107423536585248	0.720904	0.14141399999999993	0.19616204099297538	0.649274	0.790688
human	otu	5	0.719311520470765	0.10156932038957302	0.14120352239471898	0.721282	0.14165499999999998	0.1963933662561938	0.649537	0.791192
human	otu	6	0.7196153901673553	0.10170389830953297	0.14133091051023866	0.721618	0.14178900000000005	0.19648761533110323	0.649748	0.791537
human	otu	7	0.7198998475272318	0.10183110964352242	0.14145177276158602	0.72195	0.141938	0.196603642911559	0.649955	0.791893
human	otu	8	0.7201734556654563	0.1019307221053945	0.1415363497550854	0.72224	0.14207999999999998	0.1967213114754098	0.650208	0.792288
human	otu	9	0.7204721429072243	0.10201557549215591	0.14159544750822176	0.722557	0.14225	0.19687028151412275	0.65045	0.7927
human	otu	10	0.7207602667334418	0.10210252416688366	0.14165947941279086	0.722885	0.14243099999999997	0.19703133970133557	0.650652	0.793083
human	otu	11	0.7210074411251617	0.10217012711982099	0.1417046777775002	0.723152	0.14254699999999998	0.19711900126114562	0.650807	0.793354
lake	otu	1	0.7514839200603318	0.21957605150905954	0.29218995330123787	0.7162314999999999	0.42159425000000006	0.588628467192521	0.57274475	0.9943390000000001
lake	otu	2	0.7456257677224736	0.22688964807009374	0.30429426917893676	0.710248	0.4330002500000001	0.6096465600747909	0.5637894999999999	0.99678975
lake	otu	3	0.7450324638009049	0.22765586269046242	0.3055650240112207	0.7094404999999999	0.4352235000000001	0.6134742800840947	0.5618117499999999	0.99703525
lake	otu	4	0.7446879177978883	0.22828385181220612	0.30654969196661974	0.7082195	0.4362512500000001	0.6159831097562268	0.56102325	0.9972745000000001
lake	otu	5	0.744485568627451	0.22876028174255972	0.30727295649841396	0.7069909999999999	0.43748074999999986	0.6187925305979849	0.5599970000000001	0.9974777499999999
lake	otu	6	0.7443079562594268	0.2291705146033151	0.3078974404022604	0.7063185	0.4380395	0.6201727690836358	0.55953775	0.99757725
lake	otu	7	0.7442622269984916	0.2294583549581296	0.308303104247953	0.705614	0.43874199999999997	0.6217875495667603	0.5591225	0.9978644999999999
lake	otu	8	0.7442497390648567	0.2296827290359379	0.30860975419962156	0.704655	0.4395507500000001	0.6237814959093458	0.55827725	0.997828
lake	otu	9	0.744275766214178	0.22987474404832112	0.30885695125826623	0.7045365	0.4398462500000001	0.624305837951618	0.5579817499999999	0.997828
lake	otu	10	0.7441677503770739	0.2301439517938455	0.30926353860030925	0.7039995	0.43991900000000006	0.6248853869924624	0.5581505	0.9980695
lake	otu	11	0.7440474592760181	0.23036754952565577	0.30961405304684564	0.704597	0.44028774999999987	0.6248788314454927	0.557884	0.9981717499999999
marine	otu	1	0.7014909047619048	0.2054010538346638	0.2928064390291413	0.791915	0.383657	0.48446739864758215	0.494988	0.878645
marine	otu	2	0.6960182380952381	0.2106415930850089	0.30263803670067946	0.790963	0.392792	0.49659971452520535	0.485759	0.878551
marine	otu	3	0.695383619047619	0.2113790589449381	0.3039747459602771	0.791032	0.394494	0.49870801686910265	0.484081	0.878575
marine	otu	4	0.6949028571428572	0.21194795552240786	0.3050037186403968	0.791197	0.39607699999999996	0.5006047798462329	0.482659	0.878736
marine	otu	5	0.6946325238095238	0.21238264668061255	0.3057482041236098	0.791251	0.39713899999999996	0.5019127937910979	0.481879	0.879018
marine	otu	6	0.6944691904761905	0.21268417250694022	0.3062542952569355	0.791317	0.398094	0.503077780459664	0.481146	0.87924
marine	otu	7	0.6943417619047619	0.21300830209616356	0.30677731598892427	0.791673	0.399422	0.5045290163994478	0.480141	0.879563
marine	otu	8	0.6941624285714286	0.21326946543365544	0.3072327983416784	0.792012	0.40015500000000004	0.5052385569915607	0.479557	0.879712
marine	otu	9	0.6941317142857143	0.21353012328103563	0.30762190933858363	0.792667	0.40109899999999993	0.5060119823330603	0.479042	0.880141
marine	otu	10	0.6939838571428572	0.2138859406899588	0.30820016703346775	0.792799	0.40158600000000005	0.5065420112790254	0.478531	0.880117
marine	otu	11	0.6938972857142858	0.21402081852056892	0.3084329956706195	0.792906	0.401524	0.5063954617571313	0.478565	0.880089
mice	otu	1	0.4165230172082547	0.1362764391901843	0.32717625091544056	0.396131	0.14411674999999996	0.3638108353044825	0.32824425	0.472361
mice	otu	2	0.4144008935539435	0.13868155713093555	0.33465554560365124	0.39372399999999996	0.147764	0.3752984324044255	0.324065	0.471829
mice	otu	3	0.41469672041140815	0.13918734726820486	0.3356364794255457	0.394251	0.14856450000000004	0.3768271989164264	0.3241205	0.472685
mice	otu	4	0.4154499359369307	0.13992969590930415	0.33681482124610757	0.394883	0.14956950000000002	0.3787691544077614	0.3243895	0.473959
mice	otu	5	0.4160478698863825	0.1406060496431137	0.3379564223739722	0.395347	0.15072775	0.3812543158288794	0.32441825	0.475146
mice	otu	6	0.41649496210540266	0.14119529173297538	0.33900840245276004	0.395671	0.15161075000000002	0.38317377316002443	0.3243855	0.47599625
mice	otu	7	0.4170337856835271	0.14173860495241902	0.3398731944945575	0.395976	0.15227300000000005	0.3845510839040751	0.324658	0.47693100000000005
mice	otu	8	0.41757082682434	0.1422685128155443	0.34070510599964055	0.39669	0.15290874999999998	0.3854615694875091	0.3248115	0.47772024999999996
mice	otu	9	0.418034034963066	0.14274353777090307	0.34146391401722753	0.39705999999999997	0.15349975000000005	0.386590817508689	0.325092	0.47859175000000004
mice	otu	10	0.4183392376362251	0.1432079923713033	0.3423250307106802	0.39733050000000003	0.15392825000000004	0.3874060763017187	0.32511674999999995	0.479045
mice	otu	11	0.4185538005730564	0.14369744750152125	0.34331894085008935	0.397641	0.15462874999999998	0.38886520756159443	0.32494725	0.479576
peromyscus	otu	1	0.7606508073710073	0.10990759876557524	0.14449152975389903	0.759005	0.13527600000000006	0.17822807491386758	0.694834	0.83011
peromyscus	otu	2	0.7632652371826372	0.11075754188900622	0.14511016157087697	0.761676	0.13670000000000004	0.17947263665915697	0.697016	0.833716
peromyscus	otu	3	0.7659992617526618	0.11150854438663012	0.1455726525525501	0.764382	0.13844200000000007	0.18111624815864327	0.699556	0.837998
peromyscus	otu	4	0.7686610525798526	0.11191981920211595	0.14560360359937596	0.767595	0.139069	0.1811749685706655	0.702482	0.841551
peromyscus	otu	5	0.7708013025389026	0.11224004753351781	0.14561476111134752	0.770041	0.13991900000000002	0.1817033119015741	0.704534	0.844453
peromyscus	otu	6	0.7729043348075348	0.11243316734360494	0.14546841346361777	0.772287	0.13981599999999994	0.1810415040004557	0.706833	0.846649
peromyscus	otu	7	0.7749563828009828	0.11258028820725843	0.14527306401471407	0.774422	0.13986900000000002	0.18061082975432002	0.709356	0.849225
peromyscus	otu	8	0.7769463400491401	0.11264845924475354	0.1449887250097977	0.776287	0.14032	0.18075788980106586	0.711143	0.851463
peromyscus	otu	9	0.7786260515970516	0.11278726124032251	0.14485420955153358	0.778809	0.14026899999999998	0.18010706090967102	0.713072	0.853341
peromyscus	otu	10	0.7800537796887796	0.11280254304363214	0.14460867440272812	0.780323	0.13964	0.17895153673542877	0.714618	0.854258
peromyscus	otu	11	0.7816317446355446	0.11267805709521177	0.14415747296413955	0.782306	0.13961400000000002	0.17846469284397667	0.716371	0.855985
rainforest	otu	1	0.6679947685421995	0.12858088736864126	0.1924878658095634	0.6846715000000001	0.17577374999999995	0.2567271311862695	0.5838085000000001	0.75958225
rainforest	otu	2	0.6695888380221654	0.13450559682714078	0.20087789579116047	0.6886509999999999	0.18259800000000004	0.265153176282326	0.5827910000000001	0.7653890000000001
rainforest	otu	3	0.6671407651321398	0.13870617512357003	0.207911406966859	0.6856515	0.1886565	0.2751492558537391	0.57813625	0.76679275
