dataset	method	prune	mean	sd	sd_mean	median	iqr	iqr_median	lci	uci
bioethanol	pc	1	0.8213182922732363	0.2245561570140372	0.27340941888985937	0.915599	0.24502199999999996	0.2676084180956947	0.742554	0.987576
bioethanol	pc	2	0.820727245912654	0.22554327969844556	0.2748090560191407	0.915915	0.2463749999999999	0.26899330178018693	0.741222	0.987597
bioethanol	pc	3	0.820579933706607	0.22607193367725217	0.27550263465019453	0.916116	0.24718800000000007	0.2698217256329985	0.740605	0.987793
bioethanol	pc	4	0.8204364029115342	0.22664984624705542	0.27625522885470327	0.91652	0.247587	0.2701381311918998	0.740317	0.987904
bioethanol	pc	5	0.8202864098544232	0.22718410589970034	0.27695705203749366	0.916966	0.24823000000000006	0.2707079651808247	0.739915	0.988145
bioethanol	pc	6	0.8199715274356103	0.22772928305313794	0.27772828132867183	0.917335	0.24879300000000004	0.27121280666277864	0.739398	0.988191
bioethanol	pc	7	0.8197334302351623	0.22824348340161624	0.27843622692823267	0.917567	0.24866500000000002	0.271004733169349	0.739489	0.988154
bioethanol	pc	8	0.8196227218365062	0.22878660457427621	0.27913648374905997	0.91797	0.249811	0.27213416560454046	0.73872	0.988531
bioethanol	pc	9	0.8194658774916014	0.2293294660436797	0.27985236767351557	0.918545	0.249054	0.2711396828680141	0.739446	0.9885
bioethanol	pc	10	0.8192251272116461	0.2298401049195579	0.2805579288099386	0.918929	0.24958999999999998	0.2716096673410024	0.739063	0.988653
bioethanol	pc	11	0.819050644568869	0.23033122190617383	0.2812173135245078	0.91852	0.2502519999999999	0.2724513347559116	0.738778	0.98903
human	pc	1	0.784612819773799	0.08723985636166233	0.11118841569121093	0.78948	0.11863099999999993	0.15026473121548353	0.72806	0.846691
human	pc	2	0.7830660908893619	0.08815811855443008	0.11258068709667292	0.787895	0.11994000000000005	0.1522284060693367	0.725846	0.845786
human	pc	3	0.7825700530528776	0.08853124788660581	0.1131288471124563	0.787419	0.12056699999999998	0.15311670152739518	0.725037	0.845604
human	pc	4	0.7822874840031718	0.08882746764170751	0.11354836867279773	0.787126	0.12091699999999994	0.1536183533513058	0.724562	0.845479
human	pc	5	0.7822934168774258	0.0890040982571703	0.11377329316209236	0.787133	0.12119999999999997	0.153976519851156	0.724438	0.845638
human	pc	6	0.7823490781353032	0.08918265720929859	0.11399343298500687	0.787183	0.12150099999999997	0.15434911577104685	0.724346	0.845847
human	pc	7	0.782455740653562	0.08932364821859871	0.11415808406490739	0.787362	0.121695	0.15456041820661906	0.724381	0.846076
human	pc	8	0.7826006458995868	0.08944995865976273	0.11429834504792856	0.787535	0.12191600000000002	0.1548070879389488	0.724437	0.846353
human	pc	9	0.7827204350319269	0.08955650228597997	0.11441697223904343	0.787688	0.12213600000000002	0.15505631671423206	0.724451	0.846587
human	pc	10	0.7829040788865239	0.0896376869944376	0.11449383061322625	0.787862	0.122309	0.15524165399524284	0.724544	0.846853
human	pc	11	0.7830495835816536	0.08975251468018872	0.11461919725397524	0.78806	0.12248500000000007	0.15542598279318842	0.724622	0.847107
lake	pc	1	0.7938112081447963	0.1930399284776676	0.24318115755611233	0.7766345	0.35342775000000004	0.4550760364109501	0.6452757499999999	0.9987035
lake	pc	2	0.778431350678733	0.2072654515512951	0.26626041123674604	0.757098	0.381216	0.503522661531268	0.6178165	0.9990325
lake	pc	3	0.7773992654600301	0.20828076745170332	0.26791994372216454	0.756027	0.38397400000000004	0.5078839776886276	0.615139	0.999113
lake	pc	4	0.7765082654600302	0.20918846998580282	0.26939632105766753	0.7543425	0.38646999999999987	0.5123269602335807	0.6127370000000001	0.999207
lake	pc	5	0.7759128318250377	0.2098741651852301	0.2704867822479254	0.7543965	0.38822325	0.5146143307928921	0.611067	0.99929025
lake	pc	6	0.7753471546003017	0.21046425023139942	0.2714451829514943	0.753369	0.389991	0.5176626593342705	0.60936825	0.9993592499999999
lake	pc	7	0.7750026907993967	0.21089702414210026	0.27212424762624376	0.7531859999999999	0.3905965	0.5185923530177141	0.608838	0.9994345
lake	pc	8	0.7746432692307692	0.21132174004187343	0.272798781627211	0.753433	0.39165675	0.5198295667962513	0.60781825	0.999475
lake	pc	9	0.7744674947209653	0.21163137016073036	0.27326049395653396	0.7534025	0.3925684999999999	0.5210607875604341	0.6069325000000001	0.999501
lake	pc	10	0.7742108378582202	0.21192030812480056	0.27372428511987473	0.754264	0.39293075	0.5209459154884761	0.6065825	0.99951325
lake	pc	11	0.7738266131221719	0.21228102346231648	0.2743263411500187	0.7540875	0.39377625000000005	0.522189069570839	0.60580675	0.999583
marine	pc	1	0.8113935238095238	0.16734683117514326	0.20624620022778029	0.86682	0.15711700000000006	0.18125677764703174	0.766674	0.923791
marine	pc	2	0.7997597142857142	0.17797588166382064	0.2225366925649355	0.859463	0.16853600000000002	0.19609453810111666	0.75078	0.919316
marine	pc	3	0.798948	0.1788022508429354	0.22379710674904427	0.859	0.16952699999999998	0.19735389988358554	0.749552	0.919079
marine	pc	4	0.798324380952381	0.1794127871322098	0.2247367002848827	0.858584	0.17039700000000002	0.19846281784892336	0.748464	0.918861
marine	pc	5	0.7979249047619048	0.17985785778967367	0.22540699847354934	0.858399	0.171107	0.1993327112450038	0.747712	0.918819
marine	pc	6	0.7975601904761904	0.18027240863055527	0.22602984800798798	0.858116	0.17166700000000001	0.20005104205025895	0.746925	0.918592
marine	pc	7	0.7972432857142857	0.18060756769502845	0.2265400925054064	0.858153	0.17193199999999997	0.20035121942124534	0.746552	0.918484
marine	pc	8	0.7969722857142857	0.18095935738340332	0.22705853218122718	0.857999	0.17267200000000005	0.20124965180612106	0.745844	0.918516
marine	pc	9	0.7967580952380953	0.1812661252959043	0.22750459189465347	0.857877	0.17296999999999996	0.2016256409718409	0.745576	0.918546
marine	pc	10	0.796531	0.18156178173999063	0.22794063475243354	0.857898	0.17311299999999996	0.20178739197433723	0.745359	0.918472
marine	pc	11	0.7963719523809524	0.18177452752640458	0.228253301717802	0.858197	0.17344799999999994	0.2021074415314898	0.745024	0.918472
mice	pc	1	0.44082965243963035	0.13336292347897902	0.30252711617951444	0.4203715	0.14276250000000001	0.33961032087094395	0.35390350000000004	0.49666600000000005
mice	pc	2	0.42782092318394116	0.13794797994692917	0.3224432758460918	0.40749100000000005	0.1485745	0.36460805269318824	0.3374725	0.486047
mice	pc	3	0.42717121911954686	0.13858130316046927	0.32441629247893294	0.406575	0.14958300000000002	0.3679099797085409	0.336281	0.485864
mice	pc	4	0.42678926923713933	0.13948156987544524	0.32681601888623	0.406131	0.15102524999999994	0.3718633889065349	0.335228	0.48625324999999997
mice	pc	5	0.42657069722415447	0.14026669255183077	0.3288240225233366	0.405956	0.15221999999999997	0.3749667451645005	0.33445800000000003	0.486678
mice	pc	6	0.4264355072542979	0.1409773131628559	0.3305946872730426	0.405582	0.15338449999999998	0.3781836965151313	0.3337335	0.487118
mice	pc	7	0.4262137134055451	0.1416515951395895	0.33234875060157226	0.4052985	0.15415625	0.38035238225653434	0.33324475	0.487401
mice	pc	8	0.4262801857464639	0.14218344710736888	0.3335445837305102	0.405193	0.15501949999999998	0.38258188073337884	0.333006	0.4880255
mice	pc	9	0.4261214077478552	0.14274159515549192	0.3349786998731476	0.405035	0.15524174999999996	0.38327984001382587	0.3325825	0.48782424999999996
mice	pc	10	0.42613760488919805	0.14327457041820243	0.33621667924720205	0.40499	0.1560005	0.3851959307637225	0.3322875	0.488288
mice	pc	11	0.4258949955944218	0.1437786420510628	0.3375917621440724	0.404705	0.15669824999999998	0.3871912874810047	0.33164475000000004	0.488343
peromyscus	pc	1	0.8137778566748567	0.09543466287165882	0.11727360493883474	0.81933	0.10552700000000004	0.12879669974247254	0.765412	0.870939
peromyscus	pc	2	0.8129966637182637	0.096874098902683	0.11915682219361948	0.818619	0.10737700000000006	0.13116846787088995	0.763739	0.871116
peromyscus	pc	3	0.8129610452088452	0.09807301851841388	0.12063679938467343	0.818993	0.10911499999999996	0.13323068695336832	0.762962	0.872077
peromyscus	pc	4	0.8131298194922195	0.09903516592059561	0.12179502404971539	0.819525	0.10999000000000003	0.13421189103444073	0.763119	0.873109
peromyscus	pc	5	0.8139481498771499	0.09957937884329979	0.12234118212361489	0.820709	0.11053299999999999	0.13467989262942162	0.76375	0.874283
peromyscus	pc	6	0.8147421798525799	0.10002158515687168	0.12276470720463946	0.822066	0.11102500000000004	0.13505606605795648	0.764397	0.875422
peromyscus	pc	7	0.8156795706797707	0.10042032557074246	0.12311246864630214	0.822932	0.11199500000000007	0.13609265407105334	0.764864	0.876859
peromyscus	pc	8	0.8166938542178542	0.10067548475161733	0.12327199994425574	0.824376	0.11211300000000002	0.13599740894931442	0.766195	0.878308
peromyscus	pc	9	0.8175930052416053	0.10105672204343498	0.12360272335447868	0.825541	0.11295699999999997	0.13682784985845642	0.766818	0.879775
peromyscus	pc	10	0.8183319477477478	0.10129102783069062	0.12377743299582598	0.826561	0.11369399999999996	0.13755064659474614	0.767324	0.881018
peromyscus	pc	11	0.8191435554463554	0.10146322014098998	0.12386500445053512	0.827827	0.11400900000000003	0.13772080398440742	0.768286	0.882295
rainforest	pc	1	0.8402060012787724	0.1036842077102771	0.12340331722514758	0.8707199999999999	0.133888	0.1537669974274164	0.782559	0.916447
rainforest	pc	2	0.8319753022165388	0.1113465977450319	0.133834018207492	0.8642955	0.14284049999999993	0.16526812878234345	0.771417	0.9142575
rainforest	pc	3	0.8264654923273658	0.11628556429884676	0.14070226207676395	0.860332	0.14945350000000013	0.1737160770493253	0.7629587499999999	0.91241225
rainforest	pc	4	0.823802	0.1197666996570607	0.14538287071051137	0.8589249999999999	0.15491725	0.18036178944610998	0.757727	0.91264425
rainforest	pc	5	0.8236275490196079	0.12152816265107527	0.14755232847144856	0.8595295000000001	0.15684849999999995	0.18248181127000287	0.75717675	0.9140252499999999
rainforest	pc	6	0.8237853964194374	0.12275995892064841	0.14901934345306617	0.8606050000000001	0.15780974999999997	0.18337071013995962	0.75721325	0.9150229999999999
rainforest	pc	7	0.8244418444160273	0.12396293603810474	0.15035983056623087	0.861081	0.15859774999999998	0.18418447277317695	0.75871775	0.9173155
rainforest	pc	8	0.824932	0.12496392494831757	0.1514839101263105	0.862331	0.1600855	0.18564275202909325	0.75856075	0.91864625
rainforest	pc	9	0.8256741986359761	0.12592926462582305	0.15251689447709488	0.8635105000000001	0.16066725000000015	0.18606287937436794	0.7599772499999999	0.9206445000000001
rainforest	pc	10	0.8264436577152601	0.12659429586058935	0.15317958420851685	0.864806	0.16197000000000006	0.1872905599637376	0.75953825	0.92150825
